"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","10671","0.0-0.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","","","","","","","","","","","",""
"","instructions","1","59069","0.0-1.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","[{""page_index"":0,""viewing_time"":9344.60000000149},{""page_index"":1,""viewing_time"":6303.89999999851},{""page_index"":2,""viewing_time"":4040},{""page_index"":3,""viewing_time"":7543.80000000447},{""page_index"":4,""viewing_time"":4072},{""page_index"":5,""viewing_time"":3936.0999999940395},{""page_index"":6,""viewing_time"":3767.60000000149},{""page_index"":7,""viewing_time"":9384}]","48392.89999999851","","","","","","","","","","",""
"","image-keyboard-response","2","60869","0.0-2.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","1795.3000000044703","img/flower4.png","74","1799.0999999940395","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","61176","0.0-3.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","61676","0.0-4.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","497.19999999552965","img/flower2.png","75","499.8999999985099","2","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","61981","0.0-5.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","62674","0.0-6.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","690.7000000029802","img/flower3.png","76","693","3","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","62978","0.0-7.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","63509","0.0-8.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","528.4000000059605","img/flower4.png","74","531","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","63814","0.0-9.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","64288","0.0-10.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","471.6000000014901","img/flower2.png","75","474.30000000447035","2","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","11","64592","0.0-11.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","12","65055","0.0-12.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","460.6000000014901","img/flower3.png","74","462.79999999701977","1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","13","65359","0.0-13.0","3PJ71Z61R5OTHAQ6UURBW89EBR819G","A11ST9LLMHHIF9","30UZJB2POHY4464FN6NBJ2NLFWF354","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
