"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"6783.900000095367","consent.html","external-html","0","6836","0.0-0.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","","","","","","","","",""
"","","fullscreen","1","9439","0.0-1.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","true","","","","","","","","",""
"12002.899999856949","","instructions","2","21444","0.0-2.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","[{""page_index"":0,""viewing_time"":2106.2999999523163},{""page_index"":1,""viewing_time"":1327.5},{""page_index"":2,""viewing_time"":1144.2000000476837},{""page_index"":3,""viewing_time"":1616.5},{""page_index"":4,""viewing_time"":1848},{""page_index"":5,""viewing_time"":2312.7999999523163},{""page_index"":6,""viewing_time"":1646.9000000953674}]","","","","","","","",""
"6414.5","","instructions","3","27860","0.0-3.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","[{""page_index"":0,""viewing_time"":6414.100000143051}]","","","","","","","",""
"2461.2999999523163","","image-keyboard-response","4","30325","0.0-4.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","","img/flower6.png","76","2463.9000000953674","3","1","3","",""
"null","","html-keyboard-response","5","30629","0.0-5.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1836.2999999523163","","image-keyboard-response","6","32468","0.0-6.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","","img/flower6.png","76","1838.2999999523163","3","1","3","",""
"null","","html-keyboard-response","7","32771","0.0-7.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"854.7999999523163","","image-keyboard-response","8","33627","0.0-8.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","","img/flower6.png","76","856.2999999523163","3","1","3","",""
"null","","html-keyboard-response","9","33930","0.0-9.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1047.1000001430511","","image-keyboard-response","10","34979","0.0-10.0","3ERMJ6L4DZEMZGO28JCP246BCVG7MJ","A13MAWPV4T44I2","3T5ZXGO9DEAUILU6S56NLENRQJRQZJ","","","img/flower4.png","74","1048.1000001430511","1","0","1","",""
