"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","2940","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","16998","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":2085.899999856949},{""page_index"":1,""viewing_time"":1332.6000001430511},{""page_index"":2,""viewing_time"":877.7000000476837},{""page_index"":3,""viewing_time"":990},{""page_index"":4,""viewing_time"":3259.899999856949},{""page_index"":5,""viewing_time"":2240.100000143051},{""page_index"":6,""viewing_time"":2019.5},{""page_index"":7,""viewing_time"":1250.2999999523163}]","14056.599999904633","","","","","","","","","","",""
"","image-keyboard-response","2","18193","0.0-2.0","","","","","1191.2999999523163","img/flower1.png","74","1193.7000000476837","1","1","3","2","1,0,0,1,1,0,1,0,1","0,1,0,0,1,1,1,1,0","3",""
"","html-keyboard-response","3","18506","0.0-3.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","19441","0.0-4.0","","","","","932","img/flower4.png","75","934.1999998092651","2","1","2","2","1,0,0,1,1,0,1,0,1","0,1,0,0,1,1,1,1,0","3",""
"","html-keyboard-response","5","19756","0.0-5.0","","","","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","20612","0.0-6.0","","","","","853.2999999523163","img/flower3.png","76","855","3","0","1","2","1,0,0,1,1,0,1,0,1","0,1,0,0,1,1,1,1,0","3",""
"","html-keyboard-response","7","20926","0.0-7.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","21735","0.0-8.0","","","","","806.2000000476837","img/flower1.png","74","808.0999999046326","1","1","3","2","1,0,0,1,1,0,1,0,1","0,1,0,0,1,1,1,1,0","3",""
"","html-keyboard-response","9","22057","0.0-9.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","22624","0.0-10.0","","","","","565.6999998092651","img/flower1.png","75","567.5999999046326","2","1","3","2","1,0,0,1,1,0,1,0,1","0,1,0,0,1,1,1,1,0","3",""
"","html-keyboard-response","11","22936","0.0-11.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","12","24024","0.0-12.0","","","","","1085.4000000953674","img/flower4.png","75","1087.2000000476837","2","1","2","2","1,0,0,1,1,0,1,0,1","0,1,0,0,1,1,1,1,0","3",""
"","html-keyboard-response","13","24336","0.0-13.0","","","","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","14","25127","0.0-14.0","","","","","788.7999999523163","img/flower3.png","76","790.5999999046326","3","0","1","2","1,0,0,1,1,0,1,0,1","0,1,0,0,1,1,1,1,0","3",""
"","html-keyboard-response","15","25436","0.0-15.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","16","26263","0.0-16.0","","","","","824.3000001907349","img/flower4.png","75","825.9000000953674","2","1","2","2","1,0,0,1,1,0,1,0,1","0,1,0,0,1,1,1,1,0","3",""
"","html-keyboard-response","17","26566","0.0-17.0","","","","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
