"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","15915","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","56544","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":3327},{""page_index"":1,""viewing_time"":6013.70000000298},{""page_index"":2,""viewing_time"":966.6999999955297},{""page_index"":3,""viewing_time"":3189.3000000044703},{""page_index"":4,""viewing_time"":3498.7999999970198},{""page_index"":5,""viewing_time"":5214.80000000447},{""page_index"":6,""viewing_time"":16858.5},{""page_index"":7,""viewing_time"":1554}]","40625.5","","","","","","","","","","",""
"","image-keyboard-response","2","57715","0.0-2.0","","","","","1166.2999999970198","img/flower5.png","74","1169.8000000044703","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","3","58019","0.0-3.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","58671","0.0-4.0","","","","","651.1999999955297","img/flower5.png","74","652.7000000029802","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","5","58974","0.0-5.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","59528","0.0-6.0","","","","","551.7999999970198","img/flower3.png","75","553.5","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","7","59830","0.0-7.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","60432","0.0-8.0","","","","","599.1000000014901","img/flower2.png","76","600.8999999985099","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","9","60734","0.0-9.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","61423","0.0-10.0","","","","","686.9000000059605","img/flower5.png","75","688.6999999955297","2","0","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","11","61725","0.0-11.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","12","62495","0.0-12.0","","","","","768.2999999970198","img/flower2.png","76","769.7999999970198","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","13","62798","0.0-13.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","14","63559","0.0-14.0","","","","","759.7999999970198","img/flower3.png","74","761.5","1","0","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","15","63861","0.0-15.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","16","64343","0.0-16.0","","","","","480.19999999552965","img/flower3.png","74","481.69999999552965","1","0","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","17","64646","0.0-17.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","18","65356","0.0-18.0","","","","","708.3999999985099","img/flower2.png","76","710","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","19","65658","0.0-19.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","20","66248","0.0-20.0","","","","","587.7000000029802","img/flower5.png","75","589.3999999985099","2","0","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","21","66550","0.0-21.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","22","67239","0.0-22.0","","","","","687.6999999955297","img/flower3.png","75","689.2000000029802","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","23","67541","0.0-23.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","24","68511","0.0-24.0","","","","","968","img/flower5.png","75","969.5","2","0","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","25","68813","0.0-25.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","26","69287","0.0-26.0","","","","","472.30000000447035","img/flower5.png","75","473.90000000596046","2","0","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","27","69589","0.0-27.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
