"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","2778","0.0-0.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","","","","","","","","","","","","",""
"","instructions","1","19827","0.0-1.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","[{""page_index"":0,""viewing_time"":1434.3999999761581},{""page_index"":1,""viewing_time"":1931.3999999761581},{""page_index"":2,""viewing_time"":1644.6000000238419},{""page_index"":3,""viewing_time"":1310.7999999523163},{""page_index"":4,""viewing_time"":3060.2000000476837},{""page_index"":5,""viewing_time"":1185.3999999761581},{""page_index"":6,""viewing_time"":4014.2000000476837},{""page_index"":7,""viewing_time"":2466.899999976158}]","17048.199999928474","","","","","","","","","","",""
"","image-keyboard-response","2","20486","0.0-2.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","","657.3999999761581","img/flower6.png","74","658.8000000715256","1","1","2","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","3","20793","0.0-3.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","21057","0.0-4.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","","263.8000000715256","img/flower5.png","74","264.60000002384186","1","1","3","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","5","21370","0.0-5.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","21626","0.0-6.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","","255","img/flower5.png","74","256","1","1","3","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","7","21934","0.0-7.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","22077","0.0-8.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","","142.60000002384186","img/flower2.png","74","143.39999997615814","1","1","1","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","9","22386","0.0-9.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","22494","0.0-10.0","39LOEL67OTRPD8LBC6ZGK5T0P3O381","A1H5TB600ATGFS","3MXX6RQ9EVRTFC527Z18RDK8KW6P4R","","106.80000007152557","img/flower5.png","74","107.70000004768372","1","1","3","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
