"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"13301","consent.html","external-html","0","13391","0.0-0.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","","","","","","","","","","",""
"","","fullscreen","1","16633","0.0-1.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","true","","","","","","","","","","","",""
"71287","","instructions","2","87921","0.0-2.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","[{""page_index"":0,""viewing_time"":10165},{""page_index"":1,""viewing_time"":6995},{""page_index"":2,""viewing_time"":12057},{""page_index"":3,""viewing_time"":9927},{""page_index"":4,""viewing_time"":8243},{""page_index"":5,""viewing_time"":15402},{""page_index"":6,""viewing_time"":8498}]","","","","","","","","","","",""
"14707","","instructions","3","102630","0.0-3.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","[{""page_index"":0,""viewing_time"":14707}]","","","","","","","","","","",""
"1696","","image-keyboard-response","4","104329","0.0-4.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower5.png","75","1698","2","1","2","","","","",""
"null","","html-keyboard-response","5","104633","0.0-5.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"588","","image-keyboard-response","6","105221","0.0-6.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","589","1","1","1","","","","",""
"null","","html-keyboard-response","7","105524","0.0-7.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"501","","image-keyboard-response","8","106027","0.0-8.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower6.png","76","502","3","1","3","","","","",""
"null","","html-keyboard-response","9","106327","0.0-9.0","3T111IHZ5FCHAFPNSO6Q2ZRREQ19RK","A1I0DV4B4MFQCL","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
