"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","3619","0.0-0.0","3HVVDCPGTFE9RVAN4P311VL0CAEYTN","A1K8QNLYYYX21W","31YWE12TE0YV78PCVO9WO2QLDWO7XY","","","","","","","","","","","","",""
"","instructions","1","19271","0.0-1.0","3HVVDCPGTFE9RVAN4P311VL0CAEYTN","A1K8QNLYYYX21W","31YWE12TE0YV78PCVO9WO2QLDWO7XY","[{""page_index"":0,""viewing_time"":4976.10000038147},{""page_index"":1,""viewing_time"":3190.199999809265},{""page_index"":2,""viewing_time"":1417.3000001907349},{""page_index"":3,""viewing_time"":607.7999997138977},{""page_index"":4,""viewing_time"":935.5},{""page_index"":5,""viewing_time"":775.8000001907349},{""page_index"":6,""viewing_time"":1096.0999999046326},{""page_index"":7,""viewing_time"":2641.9000000953674}]","15643.5","","","","","","","","","","",""
"","image-keyboard-response","2","19776","0.0-2.0","3HVVDCPGTFE9RVAN4P311VL0CAEYTN","A1K8QNLYYYX21W","31YWE12TE0YV78PCVO9WO2QLDWO7XY","","493.69999980926514","img/flower5.png","74","504.3999996185303","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","20087","0.0-3.0","3HVVDCPGTFE9RVAN4P311VL0CAEYTN","A1K8QNLYYYX21W","31YWE12TE0YV78PCVO9WO2QLDWO7XY","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","20265","0.0-4.0","3HVVDCPGTFE9RVAN4P311VL0CAEYTN","A1K8QNLYYYX21W","31YWE12TE0YV78PCVO9WO2QLDWO7XY","","173.09999990463257","img/flower3.png","75","176.90000009536743","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","20592","0.0-5.0","3HVVDCPGTFE9RVAN4P311VL0CAEYTN","A1K8QNLYYYX21W","31YWE12TE0YV78PCVO9WO2QLDWO7XY","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","20853","0.0-6.0","3HVVDCPGTFE9RVAN4P311VL0CAEYTN","A1K8QNLYYYX21W","31YWE12TE0YV78PCVO9WO2QLDWO7XY","","251.30000019073486","img/flower5.png","75","260.19999980926514","2","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","21171","0.0-7.0","3HVVDCPGTFE9RVAN4P311VL0CAEYTN","A1K8QNLYYYX21W","31YWE12TE0YV78PCVO9WO2QLDWO7XY","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","21471","0.0-8.0","3HVVDCPGTFE9RVAN4P311VL0CAEYTN","A1K8QNLYYYX21W","31YWE12TE0YV78PCVO9WO2QLDWO7XY","","293.59999990463257","img/flower3.png","76","298.69999980926514","3","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","21789","0.0-9.0","3HVVDCPGTFE9RVAN4P311VL0CAEYTN","A1K8QNLYYYX21W","31YWE12TE0YV78PCVO9WO2QLDWO7XY","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
