"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"5068.400000035763","consent.html","external-html","0","5117","0.0-0.0","374TNBHA8CHWZFIVNL96WQADOVVYQ5","A1NKBIJQGT0712","3S829FDFT2NBOHQMM1CIOU0HZYXDXL","","","","","","","","","",""
"","","fullscreen","1","7777","0.0-1.0","374TNBHA8CHWZFIVNL96WQADOVVYQ5","A1NKBIJQGT0712","3S829FDFT2NBOHQMM1CIOU0HZYXDXL","true","","","","","","","","",""
"77806.70000004768","","instructions","2","85584","0.0-2.0","374TNBHA8CHWZFIVNL96WQADOVVYQ5","A1NKBIJQGT0712","3S829FDFT2NBOHQMM1CIOU0HZYXDXL","","[{""page_index"":0,""viewing_time"":10371},{""page_index"":1,""viewing_time"":17708.5},{""page_index"":2,""viewing_time"":13881.800000011921},{""page_index"":3,""viewing_time"":7704.800000011921},{""page_index"":4,""viewing_time"":5369.800000011921},{""page_index"":5,""viewing_time"":15637.699999988079},{""page_index"":6,""viewing_time"":7132.5}]","","","","","","","",""
"19634.600000023842","","instructions","3","105219","0.0-3.0","374TNBHA8CHWZFIVNL96WQADOVVYQ5","A1NKBIJQGT0712","3S829FDFT2NBOHQMM1CIOU0HZYXDXL","","[{""page_index"":0,""viewing_time"":19634.200000047684}]","","","","","","","",""
"1667.0999999642372","","image-keyboard-response","4","106888","0.0-4.0","374TNBHA8CHWZFIVNL96WQADOVVYQ5","A1NKBIJQGT0712","3S829FDFT2NBOHQMM1CIOU0HZYXDXL","","","img/flower5.png","75","1668.199999988079","2","1","2","",""
"null","","html-keyboard-response","5","107189","0.0-5.0","374TNBHA8CHWZFIVNL96WQADOVVYQ5","A1NKBIJQGT0712","3S829FDFT2NBOHQMM1CIOU0HZYXDXL","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"725.1999999880791","","image-keyboard-response","6","107915","0.0-6.0","374TNBHA8CHWZFIVNL96WQADOVVYQ5","A1NKBIJQGT0712","3S829FDFT2NBOHQMM1CIOU0HZYXDXL","","","img/flower4.png","74","726.1000000238419","1","0","1","",""
"null","","html-keyboard-response","7","108217","0.0-7.0","374TNBHA8CHWZFIVNL96WQADOVVYQ5","A1NKBIJQGT0712","3S829FDFT2NBOHQMM1CIOU0HZYXDXL","","","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"623.4000000357628","","image-keyboard-response","8","108841","0.0-8.0","374TNBHA8CHWZFIVNL96WQADOVVYQ5","A1NKBIJQGT0712","3S829FDFT2NBOHQMM1CIOU0HZYXDXL","","","img/flower5.png","75","623.8999999761581","2","1","2","",""
"null","","html-keyboard-response","9","109143","0.0-9.0","374TNBHA8CHWZFIVNL96WQADOVVYQ5","A1NKBIJQGT0712","3S829FDFT2NBOHQMM1CIOU0HZYXDXL","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
