"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","18105","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","51183","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":6108.300000011921},{""page_index"":1,""viewing_time"":3128.099999964237},{""page_index"":2,""viewing_time"":3340.100000023842},{""page_index"":3,""viewing_time"":2641.699999988079},{""page_index"":4,""viewing_time"":8726.100000023842},{""page_index"":5,""viewing_time"":1495.800000011921},{""page_index"":6,""viewing_time"":5275.5},{""page_index"":7,""viewing_time"":2360.399999976158}]","33076.30000001192","","","","","","","","","","",""
"","image-keyboard-response","2","52359","0.0-2.0","","","","","1174.9000000357628","img/flower5.png","74","1176","1","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","52660","0.0-3.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","4","53616","0.0-4.0","","","","","954.3000000119209","img/flower5.png","75","955.0999999642372","2","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","53918","0.0-5.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","54540","0.0-6.0","","","","","621.1999999880791","img/flower5.png","75","622","2","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","54842","0.0-7.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","55569","0.0-8.0","","","","","726.6999999880791","img/flower6.png","75","727.6000000238419","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","55872","0.0-9.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","56489","0.0-10.0","","","","","616.5","img/flower1.png","75","617.3000000119209","2","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
