"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","2816","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","12703","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":2808.7000000001863},{""page_index"":1,""viewing_time"":600.1000000000931},{""page_index"":2,""viewing_time"":836.2999999998137},{""page_index"":3,""viewing_time"":1103.2000000001863},{""page_index"":4,""viewing_time"":1140.2999999998137},{""page_index"":5,""viewing_time"":1201.8999999999069},{""page_index"":6,""viewing_time"":1336.3000000002794},{""page_index"":7,""viewing_time"":858.1999999997206}]","9885.30000000028","","","","","","","","","","",""
"","image-keyboard-response","2","14012","0.0-2.0","","","","","1308.3999999999069","img/flower6.png","74","1309.2999999998137","1","1","1","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","3","14319","0.0-3.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","14555","0.0-4.0","","","","","235.1999999997206","img/flower6.png","74","235.8000000002794","1","1","1","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","5","14864","0.0-5.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","14963","0.0-6.0","","","","","98","img/flower4.png","74","98.60000000009313","1","1","3","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","7","15268","0.0-7.0","","","","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","15420","0.0-8.0","","","","","151","img/flower6.png","74","151.59999999962747","1","1","1","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","9","15733","0.0-9.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","15819","0.0-10.0","","","","","85.10000000009313","img/flower3.png","74","85.79999999981374","1","1","2","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","11","16123","0.0-11.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","12","16219","0.0-12.0","","","","","95.20000000018626","img/flower6.png","74","95.89999999990687","1","1","1","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","13","16531","0.0-13.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","14","16619","0.0-14.0","","","","","87.5","img/flower6.png","74","88","1","1","1","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","15","16935","0.0-15.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","16","17003","0.0-16.0","","","","","67","img/flower6.png","74","67.60000000009313","1","1","1","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","17","17310","0.0-17.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","18","17347","0.0-18.0","","","","","36.5","img/flower4.png","74","37.200000000186265","1","1","3","2","1,0,0,1,1,0,1,0,1","1,0,0,1,1,0,1,0,1","1",""
"","html-keyboard-response","19","17653","0.0-19.0","","","","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
