"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"14033.19999999553","consent.html","external-html","0","14099","0.0-0.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","","","","","","","","","","",""
"","","fullscreen","1","17528","0.0-1.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","true","","","","","","","","","","","",""
"120742.60000000149","","instructions","2","138273","0.0-2.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","[{""page_index"":0,""viewing_time"":13263},{""page_index"":1,""viewing_time"":18079.60000000149},{""page_index"":2,""viewing_time"":16832.10000000149},{""page_index"":3,""viewing_time"":15815.89999999851},{""page_index"":4,""viewing_time"":15047.60000000149},{""page_index"":5,""viewing_time"":29515.69999999553},{""page_index"":6,""viewing_time"":12187.80000000447}]","","","","","","","","","","",""
"36308.10000000149","","instructions","3","174582","0.0-3.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","[{""page_index"":0,""viewing_time"":36307.60000000149}]","","","","","","","","","","",""
"2201.8000000044703","","image-keyboard-response","4","176787","0.0-4.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower5.png","75","2204","2","1","2","","","","",""
"null","","html-keyboard-response","5","177094","0.0-5.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"2039.9000000059605","","image-keyboard-response","6","179135","0.0-6.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower6.png","76","2040.6000000014901","3","1","3","","","","",""
"null","","html-keyboard-response","7","179465","0.0-7.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1376.1000000014901","","image-keyboard-response","8","180842","0.0-8.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower6.png","76","1377.2000000029802","3","1","3","","","","",""
"null","","html-keyboard-response","9","181155","0.0-9.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"2539.60000000149","","image-keyboard-response","10","183696","0.0-10.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","2540.5","1","1","1","","","","",""
"null","","html-keyboard-response","11","184009","0.0-11.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1042.3999999985099","","image-keyboard-response","12","185053","0.0-12.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","1043.7000000029802","1","1","1","","","","",""
"null","","html-keyboard-response","13","185355","0.0-13.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"790.1999999955297","","image-keyboard-response","14","186146","0.0-14.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower6.png","76","790.8999999985099","3","1","3","","","","",""
"null","","html-keyboard-response","15","186473","0.0-15.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1129.6000000014901","","image-keyboard-response","16","187604","0.0-16.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","1130.7000000029802","1","1","1","","","","",""
"null","","html-keyboard-response","17","187921","0.0-17.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"732.7999999970198","","image-keyboard-response","18","188655","0.0-18.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower5.png","75","734","2","1","2","","","","",""
"null","","html-keyboard-response","19","188974","0.0-19.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"749.5","","image-keyboard-response","20","189725","0.0-20.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower6.png","76","750.5","3","0","3","","","","",""
"null","","html-keyboard-response","21","190028","0.0-21.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"3258.7000000029802","","image-keyboard-response","22","193288","0.0-22.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","3259.7999999970198","1","1","1","","","","",""
"null","","html-keyboard-response","23","193591","0.0-23.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1495.9000000059605","","image-keyboard-response","24","195088","0.0-24.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","1496.2999999970198","1","1","1","","","","",""
"null","","html-keyboard-response","25","195398","0.0-25.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1900.6000000014901","","image-keyboard-response","26","197299","0.0-26.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower6.png","76","1901.3999999985099","3","1","3","","","","",""
"null","","html-keyboard-response","27","197604","0.0-27.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1163.1000000014901","","image-keyboard-response","28","198768","0.0-28.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","1164.1999999955297","1","1","1","","","","",""
"null","","html-keyboard-response","29","199076","0.0-29.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1072","","image-keyboard-response","30","200149","0.0-30.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower5.png","75","1072.8999999985099","2","1","2","","","","",""
"null","","html-keyboard-response","31","200452","0.0-31.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"995.2000000029802","","image-keyboard-response","32","201447","0.0-32.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","995.6999999955297","1","1","1","","","","",""
"null","","html-keyboard-response","33","201755","0.0-33.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1220.1000000014901","","image-keyboard-response","34","202976","0.0-34.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower4.png","74","1221","1","0","1","","","","",""
"null","","html-keyboard-response","35","203278","0.0-35.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"839.5","","image-keyboard-response","36","204118","0.0-36.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower6.png","76","840.2999999970198","3","1","3","","","","",""
"null","","html-keyboard-response","37","204424","0.0-37.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"922.9000000059605","","image-keyboard-response","38","205348","0.0-38.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower6.png","76","923.8000000044703","3","1","3","","","","",""
"null","","html-keyboard-response","39","205655","0.0-39.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"857.1000000014901","","image-keyboard-response","40","206513","0.0-40.0","3MHW492WW1ZOA6PYQHF58IMEZVLMVP","A25FH7PXC446RG","3MVY4USGB69K0BK9K576GJZ2CVDSII","","","img/flower5.png","75","858.1999999955297","2","1","2","","","","",""
