"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","3942","0.0-0.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","","","","","","","","","","","",""
"","instructions","1","57406","0.0-1.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","[{""page_index"":0,""viewing_time"":7797.199999928474},{""page_index"":1,""viewing_time"":5719.700000047684},{""page_index"":2,""viewing_time"":1816.1000000238419},{""page_index"":3,""viewing_time"":3495.899999976158},{""page_index"":4,""viewing_time"":16159.799999952316},{""page_index"":5,""viewing_time"":8296},{""page_index"":6,""viewing_time"":6776},{""page_index"":7,""viewing_time"":3400.100000023842}]","53461.5","","","","","","","","","","",""
"","image-keyboard-response","2","59085","0.0-2.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","1678","img/flower4.png","74","1679","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","3","59388","0.0-3.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","60188","0.0-4.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","798.5","img/flower6.png","75","799.3999999761581","2","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","5","60490","0.0-5.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","61303","0.0-6.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","812.5","img/flower6.png","76","813.1000000238419","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","7","61605","0.0-7.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","62528","0.0-8.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","922","img/flower6.png","76","922.7999999523163","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","9","62829","0.0-9.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","63429","0.0-10.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","598.3999999761581","img/flower6.png","76","599.0999999046326","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","11","63731","0.0-11.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","12","64366","0.0-12.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","634.1999999284744","img/flower4.png","74","634.8000000715256","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","13","64668","0.0-13.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","14","65532","0.0-14.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","862.8999999761581","img/flower1.png","75","863.6000000238419","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","15","65834","0.0-15.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","16","66636","0.0-16.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","801","img/flower4.png","76","801.5","3","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","17","66938","0.0-17.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","18","67842","0.0-18.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","903.1999999284744","img/flower6.png","75","903.8999999761581","2","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","19","68144","0.0-19.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","20","68695","0.0-20.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","550.2000000476837","img/flower6.png","75","550.8999999761581","2","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","21","68997","0.0-21.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","22","69792","0.0-22.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","794","img/flower4.png","74","794.5999999046326","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","23","70094","0.0-23.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","24","70763","0.0-24.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","668.1000000238419","img/flower4.png","74","668.6000000238419","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","25","71064","0.0-25.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","26","72008","0.0-26.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","942.7999999523163","img/flower1.png","75","943.2999999523163","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","27","72310","0.0-27.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","28","72987","0.0-28.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","676.2999999523163","img/flower1.png","75","677","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","29","73289","0.0-29.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","30","73917","0.0-30.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","626.3000000715256","img/flower6.png","76","627.1999999284744","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","31","74218","0.0-31.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","32","75081","0.0-32.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","862.1000000238419","img/flower1.png","75","862.6999999284744","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","33","75382","0.0-33.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","34","75827","0.0-34.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","444.40000009536743","img/flower1.png","75","445","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","35","76130","0.0-35.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","36","76567","0.0-36.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","436.60000002384186","img/flower1.png","75","437.1999999284744","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","37","76879","0.0-37.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","38","77295","0.0-38.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","415","img/flower1.png","75","415.59999990463257","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","39","77596","0.0-39.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","40","78287","0.0-40.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","689.8999999761581","img/flower6.png","76","690.5","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","41","78589","0.0-41.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","42","79052","0.0-42.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","463.1999999284744","img/flower6.png","76","463.8000000715256","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","43","79354","0.0-43.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","44","79988","0.0-44.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","633.2000000476837","img/flower4.png","74","633.7999999523163","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","45","80290","0.0-45.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","46","80951","0.0-46.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","660.3000000715256","img/flower6.png","76","660.7999999523163","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","47","81253","0.0-47.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","48","82010","0.0-48.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","755.8000000715256","img/flower1.png","75","756.6999999284744","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","49","82311","0.0-49.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","50","82950","0.0-50.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","638.7999999523163","img/flower4.png","74","639.6000000238419","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","51","83253","0.0-51.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","52","84112","0.0-52.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","858","img/flower6.png","76","858.6999999284744","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","53","84413","0.0-53.0","3EICBYG645I2APDDW3782Y68BWQCJX","A2HAP8SUY3WYKR","335VBRURDJMQFRMOFGHOE9WKSHX9E1","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
