"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"7368.399999999441","consent.html","external-html","0","7441","0.0-0.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","","","","","","","","","","",""
"","","fullscreen","1","11968","0.0-1.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","true","","","","","","","","","","","",""
"277814","","instructions","2","289785","0.0-2.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","[{""page_index"":0,""viewing_time"":14411.399999999441},{""page_index"":1,""viewing_time"":11000},{""page_index"":2,""viewing_time"":12356.100000000559},{""page_index"":3,""viewing_time"":13579.399999999441},{""page_index"":4,""viewing_time"":198330.39999999944},{""page_index"":5,""viewing_time"":16579.300000000745},{""page_index"":6,""viewing_time"":11556.400000000373}]","","","","","","","","","","",""
"30733.599999999627","","instructions","3","320521","0.0-3.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","[{""page_index"":0,""viewing_time"":30733}]","","","","","","","","","","",""
"826","","image-keyboard-response","4","321351","0.0-4.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","img/flower5.png","75","829.3000000007451","2","1","2","","","","",""
"null","","html-keyboard-response","5","321657","0.0-5.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"4647.700000001118","","image-keyboard-response","6","326306","0.0-6.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","img/flower5.png","75","4649.0999999996275","2","1","2","","","","",""
"null","","html-keyboard-response","7","326616","0.0-7.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"3015","","image-keyboard-response","8","329633","0.0-8.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","img/flower5.png","75","3016.7000000011176","2","1","2","","","","",""
"null","","html-keyboard-response","9","329936","0.0-9.0","3DH6GAKTYZB5D7JMAHSJNJMHWG5ZYS","A2HOUSKURBF8UA","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
