"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"11178","consent.html","external-html","0","11252","0.0-0.0","37Z929RLGAUCV9YE5JBCJ9XZTHOTSS","A2JWAD9JQNA5ON","329E6HTMSWO7MPPIUTRHLR63CI0K3O","","","","","","","","","",""
"","","fullscreen","1","14813","0.0-1.0","37Z929RLGAUCV9YE5JBCJ9XZTHOTSS","A2JWAD9JQNA5ON","329E6HTMSWO7MPPIUTRHLR63CI0K3O","true","","","","","","","","",""
"34212","","instructions","2","49027","0.0-2.0","37Z929RLGAUCV9YE5JBCJ9XZTHOTSS","A2JWAD9JQNA5ON","329E6HTMSWO7MPPIUTRHLR63CI0K3O","","[{""page_index"":0,""viewing_time"":7500},{""page_index"":1,""viewing_time"":4049},{""page_index"":2,""viewing_time"":4871},{""page_index"":3,""viewing_time"":4912},{""page_index"":4,""viewing_time"":5505},{""page_index"":5,""viewing_time"":4640},{""page_index"":6,""viewing_time"":2735}]","","","","","","","",""
"12903","","instructions","3","61930","0.0-3.0","37Z929RLGAUCV9YE5JBCJ9XZTHOTSS","A2JWAD9JQNA5ON","329E6HTMSWO7MPPIUTRHLR63CI0K3O","","[{""page_index"":0,""viewing_time"":12903}]","","","","","","","",""
"756","","image-keyboard-response","4","62687","0.0-4.0","37Z929RLGAUCV9YE5JBCJ9XZTHOTSS","A2JWAD9JQNA5ON","329E6HTMSWO7MPPIUTRHLR63CI0K3O","","","img/flower4.png","74","756","1","0","1","",""
"null","","html-keyboard-response","5","62989","0.0-5.0","37Z929RLGAUCV9YE5JBCJ9XZTHOTSS","A2JWAD9JQNA5ON","329E6HTMSWO7MPPIUTRHLR63CI0K3O","","","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"979","","image-keyboard-response","6","63969","0.0-6.0","37Z929RLGAUCV9YE5JBCJ9XZTHOTSS","A2JWAD9JQNA5ON","329E6HTMSWO7MPPIUTRHLR63CI0K3O","","","img/flower5.png","75","979","2","1","2","",""
"null","","html-keyboard-response","7","64270","0.0-7.0","37Z929RLGAUCV9YE5JBCJ9XZTHOTSS","A2JWAD9JQNA5ON","329E6HTMSWO7MPPIUTRHLR63CI0K3O","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"740","","image-keyboard-response","8","65012","0.0-8.0","37Z929RLGAUCV9YE5JBCJ9XZTHOTSS","A2JWAD9JQNA5ON","329E6HTMSWO7MPPIUTRHLR63CI0K3O","","","img/flower6.png","76","742","3","1","3","",""
"null","","html-keyboard-response","9","65313","0.0-9.0","37Z929RLGAUCV9YE5JBCJ9XZTHOTSS","A2JWAD9JQNA5ON","329E6HTMSWO7MPPIUTRHLR63CI0K3O","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
