"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","4256","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","27681","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":8687},{""page_index"":1,""viewing_time"":1511.6000000238419},{""page_index"":2,""viewing_time"":2223.899999976158},{""page_index"":3,""viewing_time"":1672.4000000357628},{""page_index"":4,""viewing_time"":2055.699999988079},{""page_index"":5,""viewing_time"":1792},{""page_index"":6,""viewing_time"":1735.8999999761581},{""page_index"":7,""viewing_time"":3744}]","23423.200000047684","","","","","","","","","","",""
"","image-keyboard-response","2","28564","0.0-2.0","","","","","882.3999999761581","img/flower5.png","74","883.6000000238419","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","28872","0.0-3.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","29740","0.0-4.0","","","","","867.0999999642372","img/flower6.png","75","867.8999999761581","2","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","30048","0.0-5.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","30852","0.0-6.0","","","","","803.3000000119209","img/flower1.png","76","803.9000000357628","3","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","31159","0.0-7.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","32292","0.0-8.0","","","","","1132.300000011921","img/flower5.png","75","1132.9000000357628","2","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","32599","0.0-9.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","10","33436","0.0-10.0","","","","","836","img/flower1.png","76","836.6999999880791","3","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","11","33743","0.0-11.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","12","34397","0.0-12.0","","","","","652.6000000238419","img/flower1.png","74","653.1000000238419","1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","13","34703","0.0-13.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","14","35292","0.0-14.0","","","","","588.1000000238419","img/flower1.png","74","588.8000000119209","1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","15","35599","0.0-15.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","16","35940","0.0-16.0","","","","","340.10000002384186","img/flower1.png","75","340.80000001192093","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","17","36247","0.0-17.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","18","38100","0.0-18.0","","","","","1852","img/flower6.png","74","1852.6000000238419","1","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","19","38408","0.0-19.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","20","39260","0.0-20.0","","","","","851.8999999761581","img/flower1.png","75","852.5","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","21","39568","0.0-21.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","22","40612","0.0-22.0","","","","","1043.8999999761581","img/flower6.png","75","1044.300000011921","2","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","23","40920","0.0-23.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
