"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"24547.399999976158","consent.html","external-html","0","24615","0.0-0.0","3ZOTGHDK5JXWIHT692PDPZRCTPNOSC","A2NXMRPHG86N2T","3A3KKYU7P33Z3BR9PPFZ5194ZCQMWU","","","","","","","","","",""
"","","fullscreen","1","27692","0.0-1.0","3ZOTGHDK5JXWIHT692PDPZRCTPNOSC","A2NXMRPHG86N2T","3A3KKYU7P33Z3BR9PPFZ5194ZCQMWU","true","","","","","","","","",""
"56408.300000071526","","instructions","2","84103","0.0-2.0","3ZOTGHDK5JXWIHT692PDPZRCTPNOSC","A2NXMRPHG86N2T","3A3KKYU7P33Z3BR9PPFZ5194ZCQMWU","","[{""page_index"":0,""viewing_time"":16998.700000047684},{""page_index"":1,""viewing_time"":10181.700000047684},{""page_index"":2,""viewing_time"":8476.799999952316},{""page_index"":3,""viewing_time"":3475.100000023842},{""page_index"":4,""viewing_time"":2671.399999976158},{""page_index"":5,""viewing_time"":7645},{""page_index"":6,""viewing_time"":6957.799999952316}]","","","","","","","",""
"21321.5","","instructions","3","105426","0.0-3.0","3ZOTGHDK5JXWIHT692PDPZRCTPNOSC","A2NXMRPHG86N2T","3A3KKYU7P33Z3BR9PPFZ5194ZCQMWU","","[{""page_index"":0,""viewing_time"":21321.099999904633}]","","","","","","","",""
"1446.3999999761581","","image-keyboard-response","4","106876","0.0-4.0","3ZOTGHDK5JXWIHT692PDPZRCTPNOSC","A2NXMRPHG86N2T","3A3KKYU7P33Z3BR9PPFZ5194ZCQMWU","","","img/flower4.png","74","1448.3999999761581","1","1","1","",""
"null","","html-keyboard-response","5","107179","0.0-5.0","3ZOTGHDK5JXWIHT692PDPZRCTPNOSC","A2NXMRPHG86N2T","3A3KKYU7P33Z3BR9PPFZ5194ZCQMWU","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"946.6000000238419","","image-keyboard-response","6","108127","0.0-6.0","3ZOTGHDK5JXWIHT692PDPZRCTPNOSC","A2NXMRPHG86N2T","3A3KKYU7P33Z3BR9PPFZ5194ZCQMWU","","","img/flower6.png","75","948.2000000476837","2","0","3","",""
"null","","html-keyboard-response","7","108439","0.0-7.0","3ZOTGHDK5JXWIHT692PDPZRCTPNOSC","A2NXMRPHG86N2T","3A3KKYU7P33Z3BR9PPFZ5194ZCQMWU","","","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"1144.6000000238419","","image-keyboard-response","8","109585","0.0-8.0","3ZOTGHDK5JXWIHT692PDPZRCTPNOSC","A2NXMRPHG86N2T","3A3KKYU7P33Z3BR9PPFZ5194ZCQMWU","","","img/flower5.png","76","1146.2999999523163","3","0","2","",""
"null","","html-keyboard-response","9","109889","0.0-9.0","3ZOTGHDK5JXWIHT692PDPZRCTPNOSC","A2NXMRPHG86N2T","3A3KKYU7P33Z3BR9PPFZ5194ZCQMWU","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
