"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","12976","0.0-0.0","37Z929RLGAUCV9YE5JBCJ9XZVYMTSQ","A2OYOBFEQBWPAJ","3UUIU9GZC5R93N292LT21FRJ9VS5TN","","","","","","","","","","","","",""
"","instructions","1","38130","0.0-1.0","37Z929RLGAUCV9YE5JBCJ9XZVYMTSQ","A2OYOBFEQBWPAJ","3UUIU9GZC5R93N292LT21FRJ9VS5TN","[{""page_index"":0,""viewing_time"":5447.699999988079},{""page_index"":1,""viewing_time"":6840.0999999940395},{""page_index"":2,""viewing_time"":1326.0999999940395},{""page_index"":3,""viewing_time"":1995.5},{""page_index"":4,""viewing_time"":2522.4000000059605},{""page_index"":5,""viewing_time"":2645.7000000178814},{""page_index"":6,""viewing_time"":2190.399999976158},{""page_index"":7,""viewing_time"":2181.600000023842}]","25150.5","","","","","","","","","","",""
"","image-keyboard-response","2","39068","0.0-2.0","37Z929RLGAUCV9YE5JBCJ9XZVYMTSQ","A2OYOBFEQBWPAJ","3UUIU9GZC5R93N292LT21FRJ9VS5TN","","936","img/flower2.png","74","938.4000000059605","1","0","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","3","39376","0.0-3.0","37Z929RLGAUCV9YE5JBCJ9XZVYMTSQ","A2OYOBFEQBWPAJ","3UUIU9GZC5R93N292LT21FRJ9VS5TN","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","4","40369","0.0-4.0","37Z929RLGAUCV9YE5JBCJ9XZVYMTSQ","A2OYOBFEQBWPAJ","3UUIU9GZC5R93N292LT21FRJ9VS5TN","","990.9000000059605","img/flower4.png","75","993.9000000059605","2","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","5","40680","0.0-5.0","37Z929RLGAUCV9YE5JBCJ9XZVYMTSQ","A2OYOBFEQBWPAJ","3UUIU9GZC5R93N292LT21FRJ9VS5TN","","null","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","41226","0.0-6.0","37Z929RLGAUCV9YE5JBCJ9XZVYMTSQ","A2OYOBFEQBWPAJ","3UUIU9GZC5R93N292LT21FRJ9VS5TN","","544.4000000059605","img/flower4.png","76","546.1000000238419","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","7","41536","0.0-7.0","37Z929RLGAUCV9YE5JBCJ9XZVYMTSQ","A2OYOBFEQBWPAJ","3UUIU9GZC5R93N292LT21FRJ9VS5TN","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","42368","0.0-8.0","37Z929RLGAUCV9YE5JBCJ9XZVYMTSQ","A2OYOBFEQBWPAJ","3UUIU9GZC5R93N292LT21FRJ9VS5TN","","829.8999999761581","img/flower2.png","76","831.6999999880791","3","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","9","42673","0.0-9.0","37Z929RLGAUCV9YE5JBCJ9XZVYMTSQ","A2OYOBFEQBWPAJ","3UUIU9GZC5R93N292LT21FRJ9VS5TN","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
