"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"17002","consent.html","external-html","0","17179","0.0-0.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","","","","","","","",""
"","","fullscreen","1","23776","0.0-1.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","true","","","","","","","","",""
"428233","","instructions","2","452013","0.0-2.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","[{""page_index"":0,""viewing_time"":312705},{""page_index"":1,""viewing_time"":17359},{""page_index"":2,""viewing_time"":19396},{""page_index"":3,""viewing_time"":21381},{""page_index"":4,""viewing_time"":17897},{""page_index"":5,""viewing_time"":30293},{""page_index"":6,""viewing_time"":9201}]","","","","","","","",""
"26864","","instructions","3","478880","0.0-3.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","[{""page_index"":0,""viewing_time"":26860}]","","","","","","","",""
"3452","","image-keyboard-response","4","482336","0.0-4.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower5.png","74","3455","1","0","2","",""
"null","","html-keyboard-response","5","482650","0.0-5.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"1963","","image-keyboard-response","6","484617","0.0-6.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower6.png","76","1966","3","1","3","",""
"null","","html-keyboard-response","7","484930","0.0-7.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"2197","","image-keyboard-response","8","487135","0.0-8.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower4.png","74","2205","1","1","1","",""
"null","","html-keyboard-response","9","487441","0.0-9.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1811","","image-keyboard-response","10","489261","0.0-10.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower4.png","74","1820","1","1","1","",""
"null","","html-keyboard-response","11","489573","0.0-11.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1384","","image-keyboard-response","12","490967","0.0-12.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower6.png","76","1394","3","1","3","",""
"null","","html-keyboard-response","13","491276","0.0-13.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"884","","image-keyboard-response","14","492165","0.0-14.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower5.png","75","889","2","1","2","",""
"null","","html-keyboard-response","15","492478","0.0-15.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1946","","image-keyboard-response","16","494452","0.0-16.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower5.png","75","1958","2","1","2","",""
"null","","html-keyboard-response","17","494759","0.0-17.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1241","","image-keyboard-response","18","496001","0.0-18.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower4.png","74","1242","1","1","1","",""
"null","","html-keyboard-response","19","496305","0.0-19.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1791","","image-keyboard-response","20","498108","0.0-20.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower6.png","76","1803","3","0","3","",""
"null","","html-keyboard-response","21","498414","0.0-21.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"4184","","image-keyboard-response","22","502600","0.0-22.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower4.png","74","4186","1","1","1","",""
"null","","html-keyboard-response","23","502910","0.0-23.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1868","","image-keyboard-response","24","504791","0.0-24.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower5.png","75","1881","2","1","2","",""
"null","","html-keyboard-response","25","505099","0.0-25.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1713","","image-keyboard-response","26","506825","0.0-26.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower4.png","74","1725","1","1","1","",""
"null","","html-keyboard-response","27","507130","0.0-27.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"7176","","image-keyboard-response","28","514309","0.0-28.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower5.png","75","7178","2","1","2","",""
"null","","html-keyboard-response","29","514622","0.0-29.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1501","","image-keyboard-response","30","516129","0.0-30.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower6.png","76","1507","3","1","3","",""
"null","","html-keyboard-response","31","516432","0.0-31.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"3916","","image-keyboard-response","32","520360","0.0-32.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower5.png","75","3928","2","1","2","",""
"null","","html-keyboard-response","33","520665","0.0-33.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1520","","image-keyboard-response","34","522196","0.0-34.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower4.png","74","1531","1","1","1","",""
"null","","html-keyboard-response","35","522508","0.0-35.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1153","","image-keyboard-response","36","523673","0.0-36.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower6.png","76","1165","3","1","3","",""
"null","","html-keyboard-response","37","523978","0.0-37.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"2065","","image-keyboard-response","38","526043","0.0-38.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower4.png","75","2066","2","0","1","",""
"null","","html-keyboard-response","39","526358","0.0-39.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"942","","image-keyboard-response","40","527316","0.0-40.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","img/flower6.png","76","958","3","1","3","",""
"null","","html-keyboard-response","41","527619","0.0-41.0","352YTHGROWZ3OF58FOY57NE5271H48","A2Y7L7R5UTQ5R2","3FW4EL5A3LANKRP91N782LFHPY722Q","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
