"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","4870","0.0-0.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","","","","","","","","","","","",""
"","instructions","1","55358","0.0-1.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","[{""page_index"":0,""viewing_time"":18781.600000023842},{""page_index"":1,""viewing_time"":5341.5},{""page_index"":2,""viewing_time"":3853.7999999821186},{""page_index"":3,""viewing_time"":2932.4000000059605},{""page_index"":4,""viewing_time"":6369.5999999940395},{""page_index"":5,""viewing_time"":2740},{""page_index"":6,""viewing_time"":4284.200000017881},{""page_index"":7,""viewing_time"":6180.199999988079}]","50484.40000000596","","","","","","","","","","",""
"","image-keyboard-response","2","57364","0.0-2.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","2001.699999988079","img/flower1.png","74","2005.0999999940395","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","57668","0.0-3.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","59051","0.0-4.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","1380.0999999940395","img/flower4.png","75","1381.8999999761581","2","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","59355","0.0-5.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","60748","0.0-6.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","1390.0999999940395","img/flower4.png","75","1391.699999988079","2","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","61050","0.0-7.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","61628","0.0-8.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","574.6999999880791","img/flower1.png","76","576.5999999940395","3","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","61931","0.0-9.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","62449","0.0-10.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","516.6999999880791","img/flower4.png","75","518","2","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","11","62752","0.0-11.0","345LHZDEDYENB5SOF90LGXBPMZ4U36","A2YNPKYEFDZ6C9","3THR0FZ95PF7SK0MYRNAOUHTWDJOLG","","null","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
