"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","2311","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","9527","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":702.3000000007451},{""page_index"":1,""viewing_time"":1079.2999999998137},{""page_index"":2,""viewing_time"":692.0999999996275},{""page_index"":3,""viewing_time"":523.2000000001863},{""page_index"":4,""viewing_time"":981},{""page_index"":5,""viewing_time"":751.5999999996275},{""page_index"":6,""viewing_time"":1166},{""page_index"":7,""viewing_time"":1314.7000000001863}]","7210.700000000186","","","","","","","","","","",""
"","image-keyboard-response","2","10634","0.0-2.0","","","","","1105.3999999994412","img/flower3.png","76","1106.7999999998137","3","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","10950","0.0-3.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","11286","0.0-4.0","","","","","333.40000000037253","img/flower5.png","76","335.5","3","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","11602","0.0-5.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","12099","0.0-6.0","","","","","492.09999999962747","img/flower6.png","76","495.90000000037253","3","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","12406","0.0-7.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","12654","0.0-8.0","","","","","246.8999999994412","img/flower6.png","76","248.70000000018626","3","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","12970","0.0-9.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","10","13668","0.0-10.0","","","","","694.9000000003725","img/flower6.png","75","698","2","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","11","13983","0.0-11.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","12","14481","0.0-12.0","","","","","494","img/flower3.png","76","496.70000000018626","3","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","13","14794","0.0-13.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","14","15247","0.0-14.0","","","","","450.5","img/flower6.png","76","452.79999999981374","3","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","15","15561","0.0-15.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","16","15945","0.0-16.0","","","","","382.40000000037253","img/flower6.png","75","384.29999999981374","2","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","17","16261","0.0-17.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","18","17016","0.0-18.0","","","","","751.7999999998137","img/flower6.png","74","754.7000000001863","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","19","17323","0.0-19.0","","","","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
