"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","5738","0.0-0.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","","","","","","","","","","","",""
"","instructions","1","23159","0.0-1.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","[{""page_index"":0,""viewing_time"":1929.5},{""page_index"":1,""viewing_time"":1433.5},{""page_index"":0,""viewing_time"":1812.0999999940395},{""page_index"":1,""viewing_time"":863.7000000029802},{""page_index"":2,""viewing_time"":1033.8999999910593},{""page_index"":3,""viewing_time"":1042.2000000029802},{""page_index"":4,""viewing_time"":1392.1000000089407},{""page_index"":5,""viewing_time"":1529.7999999970198},{""page_index"":6,""viewing_time"":4914},{""page_index"":7,""viewing_time"":1466}]","17417.39999999106","","","","","","","","","","",""
"","image-keyboard-response","2","23853","0.0-2.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","691.5999999940395","img/flower3.png","75","693.7000000029802","2","0","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","3","24156","0.0-3.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","4","24829","0.0-4.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","671.0999999940395","img/flower5.png","76","672.2999999970198","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","5","25130","0.0-5.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","26061","0.0-6.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","929.0999999940395","img/flower4.png","74","930.5","1","0","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","7","26364","0.0-7.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","26988","0.0-8.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","623.2000000029802","img/flower5.png","76","624.2999999970198","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","9","27291","0.0-9.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","27877","0.0-10.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","584.2000000029802","img/flower3.png","75","585.4000000059605","2","0","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","11","28179","0.0-11.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","12","28868","0.0-12.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","688.0999999940395","img/flower3.png","74","689.2000000029802","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","13","29170","0.0-13.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","14","29780","0.0-14.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","609","img/flower3.png","74","610.2000000029802","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","15","30082","0.0-15.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","16","30476","0.0-16.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","392.79999999701977","img/flower3.png","74","393.79999999701977","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","17","30779","0.0-17.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","18","31340","0.0-18.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","560.2000000029802","img/flower5.png","74","561.5","1","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","19","31643","0.0-19.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","20","32972","0.0-20.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","1327.5","img/flower3.png","74","1328.7999999970198","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","21","33274","0.0-21.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","22","33724","0.0-22.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","448.80000001192093","img/flower3.png","74","450","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","23","34027","0.0-23.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","24","34612","0.0-24.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","584.2000000029802","img/flower5.png","76","585.2999999970198","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","25","34915","0.0-25.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","26","35749","0.0-26.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","832.2999999970198","img/flower4.png","75","833.5","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","27","36051","0.0-27.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","28","36789","0.0-28.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","737","img/flower5.png","76","738.0999999940395","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","29","37090","0.0-29.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","30","37789","0.0-30.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","696.9000000059605","img/flower4.png","75","698.0999999940395","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","31","38090","0.0-31.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","32","38621","0.0-32.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","529","img/flower4.png","75","530.0999999940395","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","33","38922","0.0-33.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","34","39325","0.0-34.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","400.79999999701977","img/flower4.png","75","401.8999999910593","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","35","39627","0.0-35.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","36","40157","0.0-36.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","528.7000000029802","img/flower3.png","74","529.6999999880791","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","37","40459","0.0-37.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","38","41133","0.0-38.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","672.2999999970198","img/flower5.png","76","673.5","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","39","41435","0.0-39.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","40","41893","0.0-40.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","456.20000000298023","img/flower5.png","76","457.3999999910593","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","41","42194","0.0-41.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","42","42805","0.0-42.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","609.2999999970198","img/flower4.png","75","610.3999999910593","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","43","43106","0.0-43.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","44","43469","0.0-44.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","361.29999999701977","img/flower5.png","75","362.5","2","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","45","43770","0.0-45.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","46","43885","0.0-46.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","112.70000000298023","img/flower3.png","76","113.90000000596046","3","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","47","44186","0.0-47.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","48","44565","0.0-48.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","377","img/flower5.png","74","378.09999999403954","1","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","49","44867","0.0-49.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","50","45709","0.0-50.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","840.4000000059605","img/flower5.png","76","841.5","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","51","46011","0.0-51.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","52","46813","0.0-52.0","3PQMUDRV7SSXSHF76VIU10P3BISIIS","A3APKUC67F9IMW","3P520RYKCHSO30HY2QJC6BDLS9Z5UE","","800.7999999970198","img/flower3.png","75","801.7999999970198","2","0","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
