"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","23544","0.0-0.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","","","","","","","","","","","",""
"","instructions","1","32284","0.0-1.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","[{""page_index"":0,""viewing_time"":922.6000000238419},{""page_index"":1,""viewing_time"":690.5},{""page_index"":2,""viewing_time"":656.1999999880791},{""page_index"":3,""viewing_time"":1389.699999988079},{""page_index"":4,""viewing_time"":1798.800000011921},{""page_index"":5,""viewing_time"":991.6999999880791},{""page_index"":6,""viewing_time"":813.3999999761581},{""page_index"":7,""viewing_time"":1475.9000000357628}]","8739.199999988079","","","","","","","","","","",""
"","image-keyboard-response","2","33063","0.0-2.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","778","img/flower2.png","74","778.8999999761581","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","33365","0.0-3.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","33397","0.0-4.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","31","img/flower6.png","75","31.69999998807907","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","33698","0.0-5.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","33745","0.0-6.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","45.69999998807907","img/flower2.png","76","46.80000001192093","3","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","34047","0.0-7.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","34093","0.0-8.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","44.69999998807907","img/flower2.png","74","45.39999997615814","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","34394","0.0-9.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","34465","0.0-10.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","70.29999995231628","img/flower4.png","75","71","2","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","11","34767","0.0-11.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","12","34783","0.0-12.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","15","img/flower4.png","74","15.599999964237213","1","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","13","35084","0.0-13.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","14","35156","0.0-14.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","71.30000001192093","img/flower2.png","74","72.19999998807907","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","15","35458","0.0-15.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","16","35539","0.0-16.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","80.40000003576279","img/flower6.png","74","81.10000002384186","1","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","17","35840","0.0-17.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","18","35983","0.0-18.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","141.39999997615814","img/flower2.png","74","142.30000001192093","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","19","36284","0.0-19.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","20","36296","0.0-20.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","10.799999952316284","img/flower6.png","75","11.399999976158142","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","21","36597","0.0-21.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","22","36688","0.0-22.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","89.19999998807907","img/flower6.png","75","90.10000002384186","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","23","36989","0.0-23.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","24","37073","0.0-24.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","83.40000003576279","img/flower4.png","76","84.09999996423721","3","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","25","37374","0.0-25.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","26","37421","0.0-26.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","45.90000003576279","img/flower6.png","74","46.60000002384186","1","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","27","37724","0.0-27.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","28","37767","0.0-28.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","42.59999996423721","img/flower4.png","75","43.39999997615814","2","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","29","38070","0.0-29.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","30","38073","0.0-30.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","2.5","img/flower2.png","74","3.299999952316284","1","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","31","38375","0.0-31.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","32","38387","0.0-32.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","11.600000023841858","img/flower6.png","75","12.300000011920929","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","33","38689","0.0-33.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","34","38783","0.0-34.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","93.10000002384186","img/flower2.png","76","93.89999997615814","3","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","35","39084","0.0-35.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","36","39094","0.0-36.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","8.800000011920929","img/flower4.png","74","9.5","1","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","37","39395","0.0-37.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","38","39419","0.0-38.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","22.5","img/flower4.png","75","23.5","2","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","39","39721","0.0-39.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","40","39755","0.0-40.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","33.40000003576279","img/flower4.png","76","33.89999997615814","3","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","41","40057","0.0-41.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","42","40125","0.0-42.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","67.59999996423721","img/flower6.png","76","68.40000003576279","3","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","43","40426","0.0-43.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","44","40500","0.0-44.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","72.19999998807907","img/flower6.png","76","73.10000002384186","3","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","45","40801","0.0-45.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","46","40861","0.0-46.0","3Y5140Z9DY2P932BJQ8EAXQFXV7IPM","A3DG8M8G0L4DNZ","3566S7OX5D5NH74JOVOPTTMK8IR17K","","59.10000002384186","img/flower4.png","74","60","1","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
