"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","15332","0.0-0.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","","","","","","","","","","","",""
"","instructions","1","32427","0.0-1.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","[{""page_index"":0,""viewing_time"":1505.4000000357628},{""page_index"":1,""viewing_time"":4397.699999988079},{""page_index"":2,""viewing_time"":1990.3999999761581},{""page_index"":3,""viewing_time"":1196.5},{""page_index"":4,""viewing_time"":3147.100000023842},{""page_index"":5,""viewing_time"":1637.199999988079},{""page_index"":6,""viewing_time"":2202.800000011921},{""page_index"":7,""viewing_time"":1016.3999999761581}]","17094","","","","","","","","","","",""
"","image-keyboard-response","2","32986","0.0-2.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","556.5999999642372","img/flower2.png","74","558.1000000238419","1","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","3","33292","0.0-3.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","4","33969","0.0-4.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","676","img/flower6.png","74","676.7999999523163","1","0","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","5","34272","0.0-5.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","34761","0.0-6.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","488.4000000357628","img/flower2.png","74","489.30000001192093","1","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","7","35064","0.0-7.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","35513","0.0-8.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","448.10000002384186","img/flower3.png","74","448.89999997615814","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","9","35815","0.0-9.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","36593","0.0-10.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","777.0999999642372","img/flower2.png","74","778.1999999880791","1","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","11","36895","0.0-11.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","12","37481","0.0-12.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","585.1000000238419","img/flower6.png","74","586","1","0","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","13","37783","0.0-13.0","3Z4GS9HPNWW3EDHF4DA0JM9LJL477N","A3EA4SHCLJ1UZQ","36U4VBVNQOZD8NFWZXWF9CIHKRIURB","","null","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
