"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","4122","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","13911","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":1453.5},{""page_index"":1,""viewing_time"":1665.9000000357628},{""page_index"":2,""viewing_time"":507.7999999523163},{""page_index"":3,""viewing_time"":1314.300000011921},{""page_index"":4,""viewing_time"":958},{""page_index"":5,""viewing_time"":1305.800000011921},{""page_index"":6,""viewing_time"":990.1000000238419},{""page_index"":7,""viewing_time"":1592}]","9787.699999988079","","","","","","","","","","",""
"","image-keyboard-response","2","14931","0.0-2.0","","","","","1017.9000000357628","img/flower2.png","75","1019.2999999523163","2","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","15233","0.0-3.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","4","15537","0.0-4.0","","","","","302.60000002384186","img/flower5.png","74","303.5","1","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","15845","0.0-5.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","16209","0.0-6.0","","","","","362.89999997615814","img/flower2.png","76","364","3","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","16514","0.0-7.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","17617","0.0-8.0","","","","","1101.800000011921","img/flower2.png","75","1102.800000011921","2","1","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","17920","0.0-9.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","18321","0.0-10.0","","","","","399.80000001192093","img/flower5.png","75","401","2","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
