"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","1809","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","6258","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":605.1000000000931},{""page_index"":1,""viewing_time"":517.7999999998137},{""page_index"":2,""viewing_time"":179},{""page_index"":3,""viewing_time"":174.20000000018626},{""page_index"":4,""viewing_time"":578.7999999998137},{""page_index"":5,""viewing_time"":782.1000000000931},{""page_index"":6,""viewing_time"":648},{""page_index"":7,""viewing_time"":964}]","4449.100000000093","","","","","","","","","","",""
"","image-keyboard-response","2","7158","0.0-2.0","","","","","898.6999999997206","img/flower5.png","75","899.2000000001863","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","3","7468","0.0-3.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","4","7521","0.0-4.0","","","","","53.299999999813735","img/flower1.png","75","53.5","2","0","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","5","7824","0.0-5.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","7980","0.0-6.0","","","","","156.09999999962747","img/flower2.png","74","156.5","1","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","7","8288","0.0-7.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","8377","0.0-8.0","","","","","88.89999999990687","img/flower2.png","76","89.20000000018626","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","9","8692","0.0-9.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","8850","0.0-10.0","","","","","158.39999999990687","img/flower5.png","76","158.60000000009313","3","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","11","9157","0.0-11.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","12","9267","0.0-12.0","","","","","110.39999999990687","img/flower5.png","76","110.5","3","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","13","9575","0.0-13.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","14","9588","0.0-14.0","","","","","13.100000000093132","img/flower2.png","76","13.399999999906868","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","15","9901","0.0-15.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","16","9983","0.0-16.0","","","","","81.70000000018626","img/flower1.png","76","82","3","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","17","10289","0.0-17.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","18","10307","0.0-18.0","","","","","18","img/flower2.png","75","18.299999999813735","2","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","19","10611","0.0-19.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","20","10794","0.0-20.0","","","","","182.60000000009313","img/flower1.png","76","182.89999999990687","3","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","21","11098","0.0-21.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","22","11115","0.0-22.0","","","","","17.299999999813735","img/flower1.png","76","17.5","3","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","23","11422","0.0-23.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","24","11436","0.0-24.0","","","","","13.899999999906868","img/flower1.png","76","14","3","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","25","11749","0.0-25.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","26","11874","0.0-26.0","","","","","125","img/flower1.png","76","125.1999999997206","3","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","27","12184","0.0-27.0","","","","","null","<img src=""img/flower1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
