"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","2931","0.0-0.0","","","","","","","","","","","","","","","",""
"","instructions","1","20619","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":3100.5},{""page_index"":1,""viewing_time"":2175.5},{""page_index"":2,""viewing_time"":1937.2999999970198},{""page_index"":3,""viewing_time"":2119.2999999970198},{""page_index"":4,""viewing_time"":3952.10000000149},{""page_index"":5,""viewing_time"":1735.3000000044703},{""page_index"":6,""viewing_time"":1223.8999999985099},{""page_index"":7,""viewing_time"":1440.8999999985099}]","17685.5","","","","","","","","","","",""
"","image-keyboard-response","2","21096","0.0-2.0","","","","","473.1000000014901","img/flower2.png","74","476.1000000014901","1","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","3","21399","0.0-3.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","4","21992","0.0-4.0","","","","","590.6000000014901","img/flower2.png","75","592.1000000014901","2","0","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","5","22293","0.0-5.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","23255","0.0-6.0","","","","","960","img/flower3.png","74","961","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","7","23558","0.0-7.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","8","23991","0.0-8.0","","","","","431.69999999552965","img/flower3.png","74","432.59999999403954","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","9","24294","0.0-9.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","10","25120","0.0-10.0","","","","","824.3999999985099","img/flower5.png","75","826.1999999955297","2","1","3","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","11","25423","0.0-11.0","","","","","null","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","12","26104","0.0-12.0","","","","","679.0999999940395","img/flower3.png","74","680.5","1","1","2","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","13","26406","0.0-13.0","","","","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","14","27071","0.0-14.0","","","","","663.7000000029802","img/flower2.png","76","664.6000000014901","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","15","27373","0.0-15.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","16","27768","0.0-16.0","","","","","393.1000000014901","img/flower2.png","76","394.6000000014901","3","1","1","2","1,0,0,1,1,0,1,0,1","0,0,1,1,0,1,0,1,1","2",""
"","html-keyboard-response","17","28069","0.0-17.0","","","","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
