"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"5803.5999999996275","consent.html","external-html","0","5913","0.0-0.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","","","","","","","","","","",""
"","","fullscreen","1","8970","0.0-1.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","true","","","","","","","","","","","",""
"36279.10000000149","","instructions","2","45252","0.0-2.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","[{""page_index"":0,""viewing_time"":4127.300000000745},{""page_index"":1,""viewing_time"":3173.300000000745},{""page_index"":2,""viewing_time"":6884.199999999255},{""page_index"":3,""viewing_time"":9198.699999999255},{""page_index"":4,""viewing_time"":5331.10000000149},{""page_index"":5,""viewing_time"":4965.5},{""page_index"":6,""viewing_time"":2598}]","","","","","","","","","","",""
"7187","","instructions","3","52441","0.0-3.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","[{""page_index"":0,""viewing_time"":7186.300000000745}]","","","","","","","","","","",""
"906.2000000011176","","image-keyboard-response","4","53352","0.0-4.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower5.png","75","910.7000000011176","2","1","2","","","","",""
"null","","html-keyboard-response","5","53659","0.0-5.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"1161.5","","image-keyboard-response","6","54822","0.0-6.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower5.png","76","1163","3","0","2","","","","",""
"null","","html-keyboard-response","7","55131","0.0-7.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"381.5","","image-keyboard-response","8","55514","0.0-8.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower5.png","74","383.2000000011176","1","1","2","","","","",""
"null","","html-keyboard-response","9","55819","0.0-9.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"867.1999999992549","","image-keyboard-response","10","56688","0.0-10.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower6.png","76","868.5999999996275","3","0","3","","","","",""
"null","","html-keyboard-response","11","56992","0.0-11.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"475.59999999962747","","image-keyboard-response","12","57470","0.0-12.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower5.png","74","477.2999999988824","1","1","2","","","","",""
"null","","html-keyboard-response","13","57772","0.0-13.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","<img src=""img/flower5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"412","","image-keyboard-response","14","58185","0.0-14.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower5.png","74","413.59999999962747","1","0","2","","","","",""
"null","","html-keyboard-response","15","58491","0.0-15.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"912.1000000014901","","image-keyboard-response","16","59404","0.0-16.0","3VA45EW49O9WOXUCWJATTY435RTO1H","ACJ6NSCIWMUZI","3AQN9REUTF20OMGWRXYK787Q1B1YD0","","","img/flower6.png","74","913.4000000003725","1","0","3","","","","",""
