"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","3544","0.0-0.0","3K4J6M3CXFF4Q8QE4JQEZQO4JRGAGX","AHKYVHP6591H8","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","","","","","","","","","","","",""
"","instructions","1","12062","0.0-1.0","3K4J6M3CXFF4Q8QE4JQEZQO4JRGAGX","AHKYVHP6591H8","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","[{""page_index"":0,""viewing_time"":2077.7000000001863},{""page_index"":1,""viewing_time"":1081.0999999996275},{""page_index"":2,""viewing_time"":487.70000000018626},{""page_index"":3,""viewing_time"":399.09999999962747},{""page_index"":4,""viewing_time"":1456.4000000003725},{""page_index"":5,""viewing_time"":880.2000000001863},{""page_index"":6,""viewing_time"":1303.5999999996275},{""page_index"":7,""viewing_time"":826.7000000001863}]","8514.900000000373","","","","","","","","","","",""
"","image-keyboard-response","2","12771","0.0-2.0","3K4J6M3CXFF4Q8QE4JQEZQO4JRGAGX","AHKYVHP6591H8","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","702.2000000001863","img/flower4.png","76","704.8000000007451","3","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","13079","0.0-3.0","3K4J6M3CXFF4Q8QE4JQEZQO4JRGAGX","AHKYVHP6591H8","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","4","13393","0.0-4.0","3K4J6M3CXFF4Q8QE4JQEZQO4JRGAGX","AHKYVHP6591H8","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","312.79999999981374","img/flower3.png","75","313.70000000018626","2","1","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","13696","0.0-5.0","3K4J6M3CXFF4Q8QE4JQEZQO4JRGAGX","AHKYVHP6591H8","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/flower3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
"","image-keyboard-response","6","13811","0.0-6.0","3K4J6M3CXFF4Q8QE4JQEZQO4JRGAGX","AHKYVHP6591H8","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","111.3999999994412","img/flower4.png","75","114.59999999962747","2","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","14119","0.0-7.0","3K4J6M3CXFF4Q8QE4JQEZQO4JRGAGX","AHKYVHP6591H8","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","14162","0.0-8.0","3K4J6M3CXFF4Q8QE4JQEZQO4JRGAGX","AHKYVHP6591H8","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","40.59999999962747","img/flower2.png","75","42","2","1","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","14471","0.0-9.0","3K4J6M3CXFF4Q8QE4JQEZQO4JRGAGX","AHKYVHP6591H8","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/flower2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","",""
