"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","3104","0.0-0.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","","","","","","","","","","",""
"","instructions","1","23940","0.0-1.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","[{""page_index"":0,""viewing_time"":6060},{""page_index"":1,""viewing_time"":1565},{""page_index"":2,""viewing_time"":1997},{""page_index"":3,""viewing_time"":1263},{""page_index"":4,""viewing_time"":2718},{""page_index"":5,""viewing_time"":2201},{""page_index"":6,""viewing_time"":3876},{""page_index"":7,""viewing_time"":1149}]","20831","","","","","","","","","","",""
"","image-keyboard-response","2","25945","0.0-2.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower2.png","","2006","-1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","3","26257","0.0-3.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","4","28263","0.0-4.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower3.png","","2003.9999999999964","-1","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","5","28569","0.0-5.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","6","30575","0.0-6.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower5.png","","2006.0000000000036","-1","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","7","30881","0.0-7.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","8","32887","0.0-8.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower5.png","","2004","-1","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","9","33193","0.0-9.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","10","35198","0.0-10.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower2.png","","2004","-1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","11","35504","0.0-11.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","12","37509","0.0-12.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower2.png","","2005.0000000000073","-1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","13","37815","0.0-13.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","14","39821","0.0-14.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower3.png","","2006","-1","0","3","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","15","40127","0.0-15.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","16","42133","0.0-16.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower2.png","","2004.0000000000073","-1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","17","42438","0.0-17.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","18","44442","0.0-18.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower2.png","","2003","-1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","19","44748","0.0-19.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","20","46754","0.0-20.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower2.png","","2005.0000000000073","-1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","21","47060","0.0-21.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","22","49066","0.0-22.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower5.png","","2005","-1","0","1","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
"","html-keyboard-response","23","49373","0.0-23.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","null","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","",""
"","image-keyboard-response","24","51379","0.0-24.0","3F1567XTNXRHYEANF9HQX9HMJ6F9Q4","AKSLU0C30G3JT","3HUR21WDDUBEMSLDIXZW1FAIHWSYXN","","","img/flower2.png","","2005.0000000000073","-1","0","2","1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1,0.333,0.333,0.333,1,0.333,0.333,0.333,1","1",""
