"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","success","view_history","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"3381.4000000059605","consent.html","external-html","0","3433","0.0-0.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","","","","","","","",""
"","","fullscreen","1","7703","0.0-1.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","true","","","","","","","","",""
"236540","","instructions","2","244244","0.0-2.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","[{""page_index"":0,""viewing_time"":33079},{""page_index"":1,""viewing_time"":12589.700000017881},{""page_index"":2,""viewing_time"":142557.19999998808},{""page_index"":3,""viewing_time"":14009.59999999404},{""page_index"":4,""viewing_time"":8536.40000000596},{""page_index"":5,""viewing_time"":19492.90000000596},{""page_index"":6,""viewing_time"":6274.799999982119}]","","","","","","","",""
"44954.30000001192","","instructions","3","289199","0.0-3.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","[{""page_index"":0,""viewing_time"":44954.19999998808}]","","","","","","","",""
"2392.5999999940395","","image-keyboard-response","4","291592","0.0-4.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower6.png","76","2393.2000000178814","3","1","3","",""
"null","","html-keyboard-response","5","291900","0.0-5.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"4337.5","","image-keyboard-response","6","296238","0.0-6.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower4.png","74","4338.100000023842","1","1","1","",""
"null","","html-keyboard-response","7","296547","0.0-7.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1046","","image-keyboard-response","8","297594","0.0-8.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower4.png","74","1046.6000000238419","1","0","1","",""
"null","","html-keyboard-response","9","297898","0.0-9.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","<img src=""img/flower4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"2730","","image-keyboard-response","10","300629","0.0-10.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower4.png","74","2730.600000023842","1","1","1","",""
"null","","html-keyboard-response","11","300930","0.0-11.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"1821.2000000178814","","image-keyboard-response","12","302752","0.0-12.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower6.png","76","1821.699999988079","3","1","3","",""
"null","","html-keyboard-response","13","303064","0.0-13.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"617.7000000178814","","image-keyboard-response","14","303682","0.0-14.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower6.png","76","618.2000000178814","3","1","3","",""
"null","","html-keyboard-response","15","303996","0.0-15.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"441.09999999403954","","image-keyboard-response","16","304438","0.0-16.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower6.png","76","441.59999999403954","3","1","3","",""
"null","","html-keyboard-response","17","304750","0.0-17.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","<img src=""img/flower6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"341.09999999403954","","image-keyboard-response","18","305092","0.0-18.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower6.png","76","341.59999999403954","3","0","3","",""
"null","","html-keyboard-response","19","305396","0.0-19.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","<img src=""img/flower6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"1347.2999999821186","","image-keyboard-response","20","306744","0.0-20.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower4.png","74","1347.699999988079","1","1","1","",""
"null","","html-keyboard-response","21","307049","0.0-21.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","<img src=""img/flower4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"753.0999999940395","","image-keyboard-response","22","307803","0.0-22.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower5.png","75","753.7000000178814","2","0","2","",""
"null","","html-keyboard-response","23","308115","0.0-23.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","<img src=""img/flower5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"647.7999999821186","","image-keyboard-response","24","308763","0.0-24.0","3WQQ9FUS6BGUG3PORZEM2ORC9GD8BB","AMHUDJ44HF1ZH","3WPCIUYH1AU470H2HRBLZRFBM3CTDN","","","img/flower4.png","74","648.4000000059605","1","1","1","",""
