"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"true","fullscreen","0","2746","0.0-0.0","3WQQ9FUS6BGUG3PORZEM2ORCCR3B8T","A1AYQ8E01NSY5Z","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","","","","","","","","",""
"","instructions","1","13079","0.0-1.0","3WQQ9FUS6BGUG3PORZEM2ORCCR3B8T","A1AYQ8E01NSY5Z","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","[{""page_index"":0,""viewing_time"":1088},{""page_index"":1,""viewing_time"":1761},{""page_index"":2,""viewing_time"":666},{""page_index"":3,""viewing_time"":1280},{""page_index"":4,""viewing_time"":1315},{""page_index"":5,""viewing_time"":1465},{""page_index"":6,""viewing_time"":1146},{""page_index"":7,""viewing_time"":1610}]","10331","","","","","","","",""
"","image-keyboard-response","2","14356","0.0-2.0","3WQQ9FUS6BGUG3PORZEM2ORCCR3B8T","A1AYQ8E01NSY5Z","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","1274","img/animal4.png","74","1276","1","0","2","1,0.7,0,0,1,0.7,0.7,0,1",""
"","html-keyboard-response","3","14668","0.0-3.0","3WQQ9FUS6BGUG3PORZEM2ORCCR3B8T","A1AYQ8E01NSY5Z","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","4","15309","0.0-4.0","3WQQ9FUS6BGUG3PORZEM2ORCCR3B8T","A1AYQ8E01NSY5Z","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","637","img/animal2.png","75","640","2","0","1","1,0.7,0,0,1,0.7,0.7,0,1",""
"","html-keyboard-response","5","15621","0.0-5.0","3WQQ9FUS6BGUG3PORZEM2ORCCR3B8T","A1AYQ8E01NSY5Z","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","6","16156","0.0-6.0","3WQQ9FUS6BGUG3PORZEM2ORCCR3B8T","A1AYQ8E01NSY5Z","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","533","img/animal5.png","76","535","3","1","3","1,0.7,0,0,1,0.7,0.7,0,1",""
"","html-keyboard-response","7","16462","0.0-7.0","3WQQ9FUS6BGUG3PORZEM2ORCCR3B8T","A1AYQ8E01NSY5Z","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","8","17156","0.0-8.0","3WQQ9FUS6BGUG3PORZEM2ORCCR3B8T","A1AYQ8E01NSY5Z","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","692","img/animal2.png","75","694","2","1","1","1,0.7,0,0,1,0.7,0.7,0,1",""
"","html-keyboard-response","9","17462","0.0-9.0","3WQQ9FUS6BGUG3PORZEM2ORCCR3B8T","A1AYQ8E01NSY5Z","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
