"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"true","fullscreen","0","31379","0.0-0.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","","","","","","","","",""
"","instructions","1","64582","0.0-1.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","[{""page_index"":0,""viewing_time"":4390},{""page_index"":1,""viewing_time"":3092},{""page_index"":2,""viewing_time"":5170},{""page_index"":3,""viewing_time"":8212},{""page_index"":4,""viewing_time"":3467},{""page_index"":5,""viewing_time"":4414},{""page_index"":6,""viewing_time"":2706},{""page_index"":7,""viewing_time"":1741}]","33195","","","","","","","",""
"","image-keyboard-response","2","67118","0.0-2.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","2531","img/animal6.png","75","2534","2","0","3","1,0.7,0,1,0.7,0,0.7,0,1",""
"","html-keyboard-response","3","67422","0.0-3.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","4","68578","0.0-4.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","1150","img/animal1.png","74","1152","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1",""
"","html-keyboard-response","5","68881","0.0-5.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","6","73303","0.0-6.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","4418","img/animal5.png","76","4421","3","0","2","1,0.7,0,1,0.7,0,0.7,0,1",""
"","html-keyboard-response","7","73684","0.0-7.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","8","75778","0.0-8.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","2091","img/animal6.png","74","2093","1","0","3","1,0.7,0,1,0.7,0,0.7,0,1",""
"","html-keyboard-response","9","76082","0.0-9.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","10","76798","0.0-10.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","714","img/animal1.png","75","716","2","1","1","1,0.7,0,1,0.7,0,0.7,0,1",""
"","html-keyboard-response","11","77409","0.0-11.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","12","78720","0.0-12.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","1305","img/animal6.png","76","1310","3","1","3","1,0.7,0,1,0.7,0,0.7,0,1",""
"","html-keyboard-response","13","79050","0.0-13.0","3TYCR1GOTD5LD8CNR23TTBKLNUOLZV","A1PRZC0JL283H7","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
