"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"true","fullscreen","0","6255","0.0-0.0","3FIUS151DWO50Z3HQJIOVCZ7DCIGGG","A1XQOZV8LQDM22","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","","","","","","","","",""
"","instructions","1","41039","0.0-1.0","3FIUS151DWO50Z3HQJIOVCZ7DCIGGG","A1XQOZV8LQDM22","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","[{""page_index"":0,""viewing_time"":13512.299999999814},{""page_index"":1,""viewing_time"":908.7000000001863},{""page_index"":2,""viewing_time"":748.1999999992549},{""page_index"":3,""viewing_time"":12830.100000000559},{""page_index"":4,""viewing_time"":2880.5999999996275},{""page_index"":5,""viewing_time"":992.1000000005588},{""page_index"":6,""viewing_time"":1037.0999999996275},{""page_index"":7,""viewing_time"":1861.5999999996275}]","34775.59999999963","","","","","","","",""
"","image-keyboard-response","2","46229","0.0-2.0","3FIUS151DWO50Z3HQJIOVCZ7DCIGGG","A1XQOZV8LQDM22","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","5177.299999999814","img/animal2.png","75","5186.5999999996275","2","0","1","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","3","46549","0.0-3.0","3FIUS151DWO50Z3HQJIOVCZ7DCIGGG","A1XQOZV8LQDM22","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","4","47545","0.0-4.0","3FIUS151DWO50Z3HQJIOVCZ7DCIGGG","A1XQOZV8LQDM22","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","988.2000000001863","img/animal1.png","74","993.7000000001863","1","0","3","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","5","47861","0.0-5.0","3FIUS151DWO50Z3HQJIOVCZ7DCIGGG","A1XQOZV8LQDM22","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","6","51668","0.0-6.0","3FIUS151DWO50Z3HQJIOVCZ7DCIGGG","A1XQOZV8LQDM22","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","3798","img/animal6.png","76","3805.0999999996275","3","0","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","7","51981","0.0-7.0","3FIUS151DWO50Z3HQJIOVCZ7DCIGGG","A1XQOZV8LQDM22","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","8","53062","0.0-8.0","3FIUS151DWO50Z3HQJIOVCZ7DCIGGG","A1XQOZV8LQDM22","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","1076.1000000005588","img/animal1.png","74","1080.0999999996275","1","0","3","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","9","53372","0.0-9.0","3FIUS151DWO50Z3HQJIOVCZ7DCIGGG","A1XQOZV8LQDM22","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
