"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"true","fullscreen","0","3631","0.0-0.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","","","","","","","","",""
"","instructions","1","77218","0.0-1.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","[{""page_index"":0,""viewing_time"":22215.100000023842},{""page_index"":1,""viewing_time"":5021.800000011921},{""page_index"":2,""viewing_time"":3152},{""page_index"":3,""viewing_time"":7253.899999976158},{""page_index"":4,""viewing_time"":4723.800000011921},{""page_index"":5,""viewing_time"":27467.899999976158},{""page_index"":6,""viewing_time"":2443.800000011921},{""page_index"":7,""viewing_time"":1304.9000000357628}]","73584.10000002384","","","","","","","",""
"","image-keyboard-response","2","83000","0.0-2.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","5780.5","img/animal5.png","74","5782","1","0","3","1,0.5,0,1,0,0.5,0.5,0,1",""
"","html-keyboard-response","3","83304","0.0-3.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","null","<img src=""img/animal5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","4","84858","0.0-4.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","1551.800000011921","img/animal2.png","76","1553.199999988079","3","1","2","1,0.5,0,1,0,0.5,0.5,0,1",""
"","html-keyboard-response","5","85160","0.0-5.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","null","<img src=""img/animal2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","6","86215","0.0-6.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","1053.3999999761581","img/animal1.png","75","1054.7000000476837","2","1","1","1,0.5,0,1,0,0.5,0.5,0,1",""
"","html-keyboard-response","7","86517","0.0-7.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","null","<img src=""img/animal1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","8","88719","0.0-8.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","2200.2000000476837","img/animal1.png","75","2201.5","2","1","1","1,0.5,0,1,0,0.5,0.5,0,1",""
"","html-keyboard-response","9","89021","0.0-9.0","3K5TEWLKGWX2ENZ752HDGPFXGKIIVG","A2199FQE7R6RF6","3H6W48L9F4B5OEOMH57RM53Z4H1WP0","","null","<img src=""img/animal1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
