"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"true","fullscreen","0","3195","0.0-0.0","3K5TEWLKGWX2ENZ752HDGPFXIFOIVE","A2E0LU8V4EUX5C","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","","","","","","","","",""
"","instructions","1","154872","0.0-1.0","3K5TEWLKGWX2ENZ752HDGPFXIFOIVE","A2E0LU8V4EUX5C","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","[{""page_index"":0,""viewing_time"":144858.19999999925},{""page_index"":1,""viewing_time"":1103.4000000003725},{""page_index"":2,""viewing_time"":472.29999999981374},{""page_index"":3,""viewing_time"":1232.2000000001863},{""page_index"":4,""viewing_time"":1024.0999999996275},{""page_index"":5,""viewing_time"":1127.5},{""page_index"":6,""viewing_time"":743.7000000001863},{""page_index"":7,""viewing_time"":1112.7000000001863}]","151674.7999999998","","","","","","","",""
"","image-keyboard-response","2","155785","0.0-2.0","3K5TEWLKGWX2ENZ752HDGPFXIFOIVE","A2E0LU8V4EUX5C","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","911.1000000005588","img/animal6.png","74","912.2999999998137","1","1","3","1,0.7,0,0,1,0.7,0.7,0,1",""
"","html-keyboard-response","3","156087","0.0-3.0","3K5TEWLKGWX2ENZ752HDGPFXIFOIVE","A2E0LU8V4EUX5C","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","4","156825","0.0-4.0","3K5TEWLKGWX2ENZ752HDGPFXIFOIVE","A2E0LU8V4EUX5C","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","735.7000000001863","img/animal4.png","75","736.7999999998137","2","1","1","1,0.7,0,0,1,0.7,0.7,0,1",""
"","html-keyboard-response","5","157127","0.0-5.0","3K5TEWLKGWX2ENZ752HDGPFXIFOIVE","A2E0LU8V4EUX5C","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","6","157699","0.0-6.0","3K5TEWLKGWX2ENZ752HDGPFXIFOIVE","A2E0LU8V4EUX5C","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","570.6000000005588","img/animal3.png","74","571.5","1","0","2","1,0.7,0,0,1,0.7,0.7,0,1",""
"","html-keyboard-response","7","158001","0.0-7.0","3K5TEWLKGWX2ENZ752HDGPFXIFOIVE","A2E0LU8V4EUX5C","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","8","158635","0.0-8.0","3K5TEWLKGWX2ENZ752HDGPFXIFOIVE","A2E0LU8V4EUX5C","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","633.6000000005588","img/animal6.png","74","634.2999999998137","1","1","3","1,0.7,0,0,1,0.7,0.7,0,1",""
"","html-keyboard-response","9","158938","0.0-9.0","3K5TEWLKGWX2ENZ752HDGPFXIFOIVE","A2E0LU8V4EUX5C","3VJ4PFXFJ3TL96TFXMATEMT7KJHUAI","","null","<img src=""img/animal6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
