"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"true","fullscreen","0","3307","0.0-0.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","","","","","","","","",""
"","instructions","1","29404","0.0-1.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","[{""page_index"":0,""viewing_time"":8491.59999999404},{""page_index"":1,""viewing_time"":2420.7000000029802},{""page_index"":2,""viewing_time"":721.2000000029802},{""page_index"":3,""viewing_time"":5017.0999999940395},{""page_index"":4,""viewing_time"":3289.800000011921},{""page_index"":5,""viewing_time"":1605},{""page_index"":6,""viewing_time"":3305},{""page_index"":7,""viewing_time"":1245}]","26095.79999999702","","","","","","","",""
"","image-keyboard-response","2","31033","0.0-2.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","1628.0999999940395","img/animal1.png","74","1628.8999999910593","1","1","1","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","3","31335","0.0-3.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","4","32286","0.0-4.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","951","img/animal3.png","75","951.6000000089407","2","1","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","5","32588","0.0-5.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","6","33483","0.0-6.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","894.3000000119209","img/animal3.png","75","894.7999999970198","2","1","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","7","33783","0.0-7.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","8","34219","0.0-8.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","434.40000000596046","img/animal3.png","75","435","2","0","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","9","34520","0.0-9.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","10","35451","0.0-10.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","929.5","img/animal1.png","74","930.0999999940395","1","0","1","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","11","35752","0.0-11.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","12","36544","0.0-12.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","791.1000000089407","img/animal3.png","75","791.7000000029802","2","0","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","13","36846","0.0-13.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","14","37330","0.0-14.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","483.1000000089407","img/animal3.png","75","483.6000000089407","2","0","2","0.5,0,1,1,0.5,0,0,1,0.5",""
"","html-keyboard-response","15","37631","0.0-15.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","null","<img src=""img/animal3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","16","38044","0.0-16.0","324G5B4FB4UPW2HVJEPR47ZY7SA701","A3HXCMU4MOPSQI","3TZDZ3Y0JSSRVQSC3SM97PDQ3Z7196","","412.29999999701977","img/animal3.png","76","412.79999999701977","3","0","2","0.5,0,1,1,0.5,0,0,1,0.5",""
