"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"true","fullscreen","0","3041","0.0-0.0","33F859I567ZN9EQHU38SF1KBCZIBH8","AW5O1RK3W60FC","379OL9DBSS0OLW3FFHTILCO0AJC9Y6","","","","","","","","","",""
"","instructions","1","49743","0.0-1.0","33F859I567ZN9EQHU38SF1KBCZIBH8","AW5O1RK3W60FC","379OL9DBSS0OLW3FFHTILCO0AJC9Y6","[{""page_index"":0,""viewing_time"":13211},{""page_index"":1,""viewing_time"":4622.29999999702},{""page_index"":2,""viewing_time"":6662.0999999940395},{""page_index"":3,""viewing_time"":4490},{""page_index"":4,""viewing_time"":4582.20000000298},{""page_index"":5,""viewing_time"":4083.4000000059605},{""page_index"":6,""viewing_time"":5228.699999988079},{""page_index"":7,""viewing_time"":3819.800000011921}]","46700.5","","","","","","","",""
"","image-keyboard-response","2","52083","0.0-2.0","33F859I567ZN9EQHU38SF1KBCZIBH8","AW5O1RK3W60FC","379OL9DBSS0OLW3FFHTILCO0AJC9Y6","","2338.1000000089407","img/animal5.png","74","2339.4000000059605","1","1","3","0.7,0,0.8,0.7,0.8,0,0.7,0.8,0",""
"","html-keyboard-response","3","52386","0.0-3.0","33F859I567ZN9EQHU38SF1KBCZIBH8","AW5O1RK3W60FC","379OL9DBSS0OLW3FFHTILCO0AJC9Y6","","null","<img src=""img/animal5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","4","53698","0.0-4.0","33F859I567ZN9EQHU38SF1KBCZIBH8","AW5O1RK3W60FC","379OL9DBSS0OLW3FFHTILCO0AJC9Y6","","1310.3999999910593","img/animal4.png","75","1311.5","2","1","2","0.7,0,0.8,0.7,0.8,0,0.7,0.8,0",""
"","html-keyboard-response","5","54005","0.0-5.0","33F859I567ZN9EQHU38SF1KBCZIBH8","AW5O1RK3W60FC","379OL9DBSS0OLW3FFHTILCO0AJC9Y6","","null","<img src=""img/animal4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","6","55202","0.0-6.0","33F859I567ZN9EQHU38SF1KBCZIBH8","AW5O1RK3W60FC","379OL9DBSS0OLW3FFHTILCO0AJC9Y6","","1196.3999999910593","img/animal4.png","75","1197.2999999970198","2","1","2","0.7,0,0.8,0.7,0.8,0,0.7,0.8,0",""
"","html-keyboard-response","7","55504","0.0-7.0","33F859I567ZN9EQHU38SF1KBCZIBH8","AW5O1RK3W60FC","379OL9DBSS0OLW3FFHTILCO0AJC9Y6","","null","<img src=""img/animal4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","8","56194","0.0-8.0","33F859I567ZN9EQHU38SF1KBCZIBH8","AW5O1RK3W60FC","379OL9DBSS0OLW3FFHTILCO0AJC9Y6","","688.8000000119209","img/animal5.png","74","689.7999999970198","1","0","3","0.7,0,0.8,0.7,0.8,0,0.7,0.8,0",""
"","html-keyboard-response","9","56496","0.0-9.0","33F859I567ZN9EQHU38SF1KBCZIBH8","AW5O1RK3W60FC","379OL9DBSS0OLW3FFHTILCO0AJC9Y6","","null","<img src=""img/animal5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
