"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","2318","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","32594","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":1352.9000000059605},{""page_index"":1,""viewing_time"":1225.7999999821186},{""page_index"":2,""viewing_time"":970},{""page_index"":3,""viewing_time"":7646},{""page_index"":4,""viewing_time"":2825.9000000059605},{""page_index"":5,""viewing_time"":9056.300000011921},{""page_index"":6,""viewing_time"":7197.899999976158}]","30275","","","","","","","","","","","",""
"","instructions","2","56146","0.0-2.0","","","","[{""page_index"":0,""viewing_time"":20571.80000001192},{""page_index"":1,""viewing_time"":2979.199999988079}]","23551.20000001788","","","","","","","","","","","",""
"","image-keyboard-response","3","56828","0.0-3.0","","","","","681","img/food3.png","74","681.8999999761581","1","0","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","4","57131","0.0-4.0","","","","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","5","57517","0.0-6.0","","","","","385.69999998807907","img/food3.png","74","386.30000001192093","1","0","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","6","57820","0.0-7.0","","","","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","7","58341","0.0-9.0","","","","","520.6999999880791","img/food4.png","75","521.3000000119209","2","0","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","8","58642","0.0-10.0","","","","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","9","59050","0.0-12.0","","","","","406.59999999403954","img/food4.png","74","408","1","1","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","10","59352","0.0-13.0","","","","","null","<img src=""img/food4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","11","59857","0.0-15.0","","","","","504.60000002384186","img/food1.png","75","505.2999999821186","2","1","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","12","60159","0.0-16.0","","","","","null","<img src=""img/food1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","13","60667","0.0-18.0","","","","","506.40000000596046","img/food4.png","74","507.19999998807907","1","1","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","14","60970","0.0-19.0","","","","","null","<img src=""img/food4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","15","61380","0.0-21.0","","","","","409","img/food3.png","74","409.89999997615814","1","0","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","16","61690","0.0-22.0","","","","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
