"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","3823","0.0-0.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","","","","","","","","","","","","",""
"","instructions","1","37786","0.0-1.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","[{""page_index"":0,""viewing_time"":3113.800000011921},{""page_index"":1,""viewing_time"":1647.0999999940395},{""page_index"":2,""viewing_time"":2936.0999999940395},{""page_index"":3,""viewing_time"":5360},{""page_index"":4,""viewing_time"":1320.0999999940395},{""page_index"":5,""viewing_time"":5311.800000011921},{""page_index"":6,""viewing_time"":14272.300000011921}]","33961.30000001192","","","","","","","","","","","",""
"","instructions","2","55241","0.0-2.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","[{""page_index"":0,""viewing_time"":14566.800000011921},{""page_index"":1,""viewing_time"":2888}]","17454.80000001192","","","","","","","","","","","",""
"","image-keyboard-response","3","55689","0.0-3.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","447.09999999403954","img/food4.png","74","448","1","1","false","1","2","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1",""
"","html-keyboard-response","4","55991","0.0-4.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","null","<img src=""img/food4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","5","56361","0.0-6.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","369.40000000596046","img/food4.png","74","370","1","1","false","1","2","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1",""
"","html-keyboard-response","6","56663","0.0-7.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","null","<img src=""img/food4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","7","57257","0.0-9.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","593.4000000059605","img/food2.png","75","594.0999999940395","2","0","false","3","2","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1",""
"","html-keyboard-response","8","57559","0.0-10.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","9","57953","0.0-12.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","393.59999999403954","img/food2.png","76","394.40000000596046","3","1","false","3","2","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1",""
"","html-keyboard-response","10","58255","0.0-13.0","3GNCZX450J9A3LJD72G1TZ2WKOJAPT","A13TYYTK5MARJ1","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
