"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","202936","0.0-0.0","3EWIJTFFVPTA5HW56M3XAHRFWH0E0N","A16ENVVHDK1LQQ","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","","","","","","","","","","","","",""
"","instructions","1","249378","0.0-1.0","3EWIJTFFVPTA5HW56M3XAHRFWH0E0N","A16ENVVHDK1LQQ","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","[{""page_index"":0,""viewing_time"":31084},{""page_index"":1,""viewing_time"":1782},{""page_index"":2,""viewing_time"":230},{""page_index"":3,""viewing_time"":3866},{""page_index"":4,""viewing_time"":2729},{""page_index"":5,""viewing_time"":4590},{""page_index"":6,""viewing_time"":2155}]","46436","","","","","","","","","","","",""
"","instructions","2","254388","0.0-2.0","3EWIJTFFVPTA5HW56M3XAHRFWH0E0N","A16ENVVHDK1LQQ","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","[{""page_index"":0,""viewing_time"":1961},{""page_index"":1,""viewing_time"":3046}]","5008","","","","","","","","","","","",""
"","image-keyboard-response","3","255395","0.0-3.0","3EWIJTFFVPTA5HW56M3XAHRFWH0E0N","A16ENVVHDK1LQQ","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","","img/food5.png","","1005","-1","0","true","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2",""
"","html-keyboard-response","4","255701","0.0-4.0","3EWIJTFFVPTA5HW56M3XAHRFWH0E0N","A16ENVVHDK1LQQ","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","html-keyboard-response","5","258032","0.0-5.0-0.0","3EWIJTFFVPTA5HW56M3XAHRFWH0E0N","A16ENVVHDK1LQQ","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","","","","","","","","","","","","",""
"","image-keyboard-response","6","258271","0.0-6.0","3EWIJTFFVPTA5HW56M3XAHRFWH0E0N","A16ENVVHDK1LQQ","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","239","img/food2.png","76","240","3","1","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2",""
"","html-keyboard-response","7","258575","0.0-7.0","3EWIJTFFVPTA5HW56M3XAHRFWH0E0N","A16ENVVHDK1LQQ","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","258665","0.0-9.0","3EWIJTFFVPTA5HW56M3XAHRFWH0E0N","A16ENVVHDK1LQQ","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","86","img/food2.png","74","88","1","0","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2",""
"","html-keyboard-response","9","258969","0.0-10.0","3EWIJTFFVPTA5HW56M3XAHRFWH0E0N","A16ENVVHDK1LQQ","3S1L4CQSFXRWQOWP2XFUSMS4AZDFAL","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
