"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","4457","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","19428","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":1882.6000000238419},{""page_index"":1,""viewing_time"":1061.699999988079},{""page_index"":2,""viewing_time"":526.1000000238419},{""page_index"":3,""viewing_time"":5741.899999976158},{""page_index"":4,""viewing_time"":1304},{""page_index"":5,""viewing_time"":2052},{""page_index"":6,""viewing_time"":2401.899999976158}]","14970.400000035763","","","","","","","","","","","",""
"","instructions","2","32936","0.0-2.0","","","","[{""page_index"":0,""viewing_time"":11852.400000035763},{""page_index"":1,""viewing_time"":1653.699999988079}]","13506.300000011921","","","","","","","","","","","",""
"","image-keyboard-response","3","33385","0.0-3.0","","","","","447.89999997615814","img/food4.png","76","448.89999997615814","3","0","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","4","33686","0.0-4.0","","","","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","5","34123","0.0-6.0","","","","","435.69999998807907","img/food2.png","75","436.30000001192093","2","1","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","6","34424","0.0-7.0","","","","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","7","34772","0.0-9.0","","","","","347.2999999523163","img/food6.png","74","347.80000001192093","1","0","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","8","35074","0.0-10.0","","","","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","9","35419","0.0-12.0","","","","","344","img/food6.png","74","344.5999999642372","1","0","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","10","35721","0.0-13.0","","","","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","11","36139","0.0-15.0","","","","","417.39999997615814","img/food6.png","74","418","1","0","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","12","36441","0.0-16.0","","","","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","13","36610","0.0-18.0","","","","","169.19999998807907","img/food2.png","75","169.70000004768372","2","1","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","14","36912","0.0-19.0","","","","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","15","37303","0.0-21.0","","","","","390","img/food6.png","75","390.5999999642372","2","1","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","16","37604","0.0-22.0","","","","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","17","38017","0.0-24.0","","","","","411.5999999642372","img/food2.png","75","412.19999998807907","2","1","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","18","38318","0.0-25.0","","","","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","19","38592","0.0-27.0","","","","","273.60000002384186","img/food2.png","76","274.10000002384186","3","0","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","20","38893","0.0-28.0","","","","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","21","39260","0.0-30.0","","","","","366.10000002384186","img/food6.png","75","366.89999997615814","2","1","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
