"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","3320","0.0-0.0","3A7Y0R2P2PAQDNO8NZ3VGBRIC9IJX0","A1E3N1Y6XG1898","3I7KR83SNAZT1REYB2SRC49PCEEK9H","","","","","","","","","","","","","",""
"","instructions","1","48384","0.0-1.0","3A7Y0R2P2PAQDNO8NZ3VGBRIC9IJX0","A1E3N1Y6XG1898","3I7KR83SNAZT1REYB2SRC49PCEEK9H","[{""page_index"":0,""viewing_time"":6983.29999999702},{""page_index"":1,""viewing_time"":3305.5},{""page_index"":2,""viewing_time"":7684.70000000298},{""page_index"":3,""viewing_time"":13948.90000000596},{""page_index"":4,""viewing_time"":4019.2000000029802},{""page_index"":5,""viewing_time"":5791},{""page_index"":6,""viewing_time"":3330.2999999970198}]","45063.20000000298","","","","","","","","","","","",""
"","image-keyboard-response","2","51921","0.0-2.0","3A7Y0R2P2PAQDNO8NZ3VGBRIC9IJX0","A1E3N1Y6XG1898","3I7KR83SNAZT1REYB2SRC49PCEEK9H","","3535.2999999970198","img/food2.png","74","3536.5999999940395","1","1","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","3","52226","0.0-3.0","3A7Y0R2P2PAQDNO8NZ3VGBRIC9IJX0","A1E3N1Y6XG1898","3I7KR83SNAZT1REYB2SRC49PCEEK9H","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","53819","0.0-4.0","3A7Y0R2P2PAQDNO8NZ3VGBRIC9IJX0","A1E3N1Y6XG1898","3I7KR83SNAZT1REYB2SRC49PCEEK9H","","1591.7999999970198","img/food6.png","75","1592.7000000029802","2","0","3","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","5","54121","0.0-5.0","3A7Y0R2P2PAQDNO8NZ3VGBRIC9IJX0","A1E3N1Y6XG1898","3I7KR83SNAZT1REYB2SRC49PCEEK9H","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","54996","0.0-6.0","3A7Y0R2P2PAQDNO8NZ3VGBRIC9IJX0","A1E3N1Y6XG1898","3I7KR83SNAZT1REYB2SRC49PCEEK9H","","873.6999999880791","img/food4.png","76","874.4000000059605","3","0","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","7","55298","0.0-7.0","3A7Y0R2P2PAQDNO8NZ3VGBRIC9IJX0","A1E3N1Y6XG1898","3I7KR83SNAZT1REYB2SRC49PCEEK9H","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","56665","0.0-8.0","3A7Y0R2P2PAQDNO8NZ3VGBRIC9IJX0","A1E3N1Y6XG1898","3I7KR83SNAZT1REYB2SRC49PCEEK9H","","1365.800000011921","img/food2.png","75","1366.5","2","0","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","9","56967","0.0-9.0","3A7Y0R2P2PAQDNO8NZ3VGBRIC9IJX0","A1E3N1Y6XG1898","3I7KR83SNAZT1REYB2SRC49PCEEK9H","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
