"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","14772","0.0-0.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","","","","","","","","","","","","",""
"","instructions","1","90305","0.0-1.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","[{""page_index"":0,""viewing_time"":6516.9000000059605},{""page_index"":1,""viewing_time"":6089.89999999851},{""page_index"":2,""viewing_time"":5834},{""page_index"":3,""viewing_time"":17441.79999999702},{""page_index"":4,""viewing_time"":5066.70000000298},{""page_index"":5,""viewing_time"":11665.5},{""page_index"":6,""viewing_time"":22910.29999999702}]","75527.10000000149","","","","","","","","","","","",""
"","instructions","2","142137","0.0-2.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","[{""page_index"":0,""viewing_time"":43656.10000000149},{""page_index"":1,""viewing_time"":8173.30000000447}]","51829.90000000596","","","","","","","","","","","",""
"","image-keyboard-response","3","142686","0.0-3.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","545.1999999955297","img/food5.png","74","548.0999999940395","1","1","false","2","2","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2",""
"","html-keyboard-response","4","142990","0.0-4.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","5","143866","0.0-6.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","871.5","img/food5.png","74","873.5","1","1","false","2","2","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2",""
"","html-keyboard-response","6","144169","0.0-7.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","7","144796","0.0-9.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","623.7999999970198","img/food5.png","74","625.8999999985099","1","1","false","2","2","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2",""
"","html-keyboard-response","8","145099","0.0-10.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","9","145782","0.0-12.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","678.3999999985099","img/food3.png","75","681.2999999970198","2","0","false","1","2","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2",""
"","html-keyboard-response","10","146085","0.0-13.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","11","146630","0.0-15.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","540.5","img/food3.png","76","543.7999999970198","3","1","false","1","2","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2",""
"","html-keyboard-response","12","146934","0.0-16.0","36W0OB37HX0JRCTX0HOV1JRE7JSHZA","A1EIKIHK12UDP0","3RBI0I35XEP26UEZY8S8UZLEA1IY3E","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
