"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","3505","0.0-0.0","31T4R4OBOT29QUCBVUIBZ81ZKRSC78","A1NIKHUA79SWGD","31D0ZWOD0AL5TKHZZFW9PF504XD0AR","","","","","","","","","","","","","",""
"","instructions","1","15118","0.0-1.0","31T4R4OBOT29QUCBVUIBZ81ZKRSC78","A1NIKHUA79SWGD","31D0ZWOD0AL5TKHZZFW9PF504XD0AR","[{""page_index"":0,""viewing_time"":2969.39999999851},{""page_index"":1,""viewing_time"":584.4000000059605},{""page_index"":2,""viewing_time"":535.6999999955297},{""page_index"":3,""viewing_time"":4616.30000000447},{""page_index"":4,""viewing_time"":1047.5999999940395},{""page_index"":5,""viewing_time"":759.9000000059605},{""page_index"":6,""viewing_time"":1097}]","11610.70000000298","","","","","","","","","","","",""
"","instructions","2","27245","0.0-2.0","31T4R4OBOT29QUCBVUIBZ81ZKRSC78","A1NIKHUA79SWGD","31D0ZWOD0AL5TKHZZFW9PF504XD0AR","[{""page_index"":0,""viewing_time"":10597.79999999702},{""page_index"":1,""viewing_time"":1528.2000000029802}]","12126.19999999553","","","","","","","","","","","",""
"","image-keyboard-response","3","27691","0.0-3.0","31T4R4OBOT29QUCBVUIBZ81ZKRSC78","A1NIKHUA79SWGD","31D0ZWOD0AL5TKHZZFW9PF504XD0AR","","444.40000000596046","img/food4.png","76","445.69999999552965","3","0","false","3","2","1,0.5,0,1,0.5,0,0.5,0,1","0,1,0.5,0,1,0.5,1,0.5,0","3",""
"","html-keyboard-response","4","28003","0.0-4.0","31T4R4OBOT29QUCBVUIBZ81ZKRSC78","A1NIKHUA79SWGD","31D0ZWOD0AL5TKHZZFW9PF504XD0AR","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","5","28570","0.0-6.0","31T4R4OBOT29QUCBVUIBZ81ZKRSC78","A1NIKHUA79SWGD","31D0ZWOD0AL5TKHZZFW9PF504XD0AR","","565.2000000029802","img/food2.png","75","567","2","1","false","2","2","1,0.5,0,1,0.5,0,0.5,0,1","0,1,0.5,0,1,0.5,1,0.5,0","3",""
"","html-keyboard-response","6","28880","0.0-7.0","31T4R4OBOT29QUCBVUIBZ81ZKRSC78","A1NIKHUA79SWGD","31D0ZWOD0AL5TKHZZFW9PF504XD0AR","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","7","29538","0.0-9.0","31T4R4OBOT29QUCBVUIBZ81ZKRSC78","A1NIKHUA79SWGD","31D0ZWOD0AL5TKHZZFW9PF504XD0AR","","657.5","img/food4.png","76","658.5","3","0","false","3","2","1,0.5,0,1,0.5,0,0.5,0,1","0,1,0.5,0,1,0.5,1,0.5,0","3",""
"","html-keyboard-response","8","29841","0.0-10.0","31T4R4OBOT29QUCBVUIBZ81ZKRSC78","A1NIKHUA79SWGD","31D0ZWOD0AL5TKHZZFW9PF504XD0AR","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","9","30666","0.0-12.0","31T4R4OBOT29QUCBVUIBZ81ZKRSC78","A1NIKHUA79SWGD","31D0ZWOD0AL5TKHZZFW9PF504XD0AR","","824.3000000044703","img/food1.png","76","825.3000000044703","3","0","false","1","2","1,0.5,0,1,0.5,0,0.5,0,1","0,1,0.5,0,1,0.5,1,0.5,0","3",""
