"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","2503","0.0-0.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","","","","","","","","","","","","",""
"","instructions","1","21057","0.0-1.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","[{""page_index"":0,""viewing_time"":3281.9000000059605},{""page_index"":1,""viewing_time"":914.8999999985099},{""page_index"":2,""viewing_time"":2265.5},{""page_index"":1,""viewing_time"":923},{""page_index"":2,""viewing_time"":442},{""page_index"":3,""viewing_time"":3577.89999999851},{""page_index"":4,""viewing_time"":1193},{""page_index"":5,""viewing_time"":1678.1000000014901},{""page_index"":6,""viewing_time"":4275.79999999702}]","18552.5","","","","","","","","","","","",""
"","image-keyboard-response","2","22287","0.0-2.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","1228.5","img/food6.png","74","1229.6000000014901","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","3","22595","0.0-3.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","23194","0.0-4.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","598","img/food6.png","74","598.6999999955297","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","5","23498","0.0-5.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","24042","0.0-6.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","543.5","img/food5.png","75","544.2999999970198","2","0","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","7","24353","0.0-7.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","24936","0.0-8.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","581.8000000044703","img/food6.png","74","582.3999999985099","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","9","25244","0.0-9.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","25748","0.0-10.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","503.09999999403954","img/food5.png","74","503.79999999701977","1","1","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","11","26054","0.0-11.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","26563","0.0-12.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","508.1000000014901","img/food6.png","74","509","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","13","26877","0.0-13.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","27695","0.0-14.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","816.6000000014901","img/food5.png","74","817.6999999955297","1","1","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","15","27999","0.0-15.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","16","28535","0.0-16.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","534.5999999940395","img/food6.png","74","535.6000000014901","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","17","28838","0.0-17.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","18","29532","0.0-18.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","692.9000000059605","img/food4.png","76","693.7999999970198","3","1","3","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","19","29834","0.0-19.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","20","30757","0.0-20.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","922.3999999985099","img/food6.png","74","923.1999999955297","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","21","31062","0.0-21.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","22","31591","0.0-22.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","527.6999999955297","img/food6.png","74","528.5","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","23","31892","0.0-23.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","24","32496","0.0-24.0","39U1BHVTDMD8BSDZF4ABB1PN3BW3T3","A1P6OXEJ86HQRM","3PIOQ99R7Y8STPN46QFY0SD7JTFNU0","","602.7999999970198","img/food5.png","74","603.3999999985099","1","1","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
