"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","4971","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","45848","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":2646.699999988079},{""page_index"":1,""viewing_time"":1927.8999999761581},{""page_index"":2,""viewing_time"":1780},{""page_index"":3,""viewing_time"":7680.199999988079},{""page_index"":4,""viewing_time"":6433.900000035763},{""page_index"":5,""viewing_time"":10087.800000011921},{""page_index"":6,""viewing_time"":10319.5}]","40876.299999952316","","","","","","","","","","","",""
"","image-keyboard-response","2","47179","0.0-2.0","","","","","1329.199999988079","img/food4.png","74","1330.199999988079","1","0","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","3","47481","0.0-3.0","","","","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","48889","0.0-4.0","","","","","1406.300000011921","img/food5.png","75","1407","2","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","5","49191","0.0-5.0","","","","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","50489","0.0-6.0","","","","","1297.699999988079","img/food5.png","76","1298.6000000238419","3","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","7","50795","0.0-7.0","","","","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","52172","0.0-8.0","","","","","1376.5","img/food2.png","76","1377.199999988079","3","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","9","52474","0.0-9.0","","","","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","54115","0.0-10.0","","","","","1640.4000000357628","img/food5.png","75","1641.1000000238419","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","11","54417","0.0-11.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","55284","0.0-12.0","","","","","866.5","img/food2.png","76","867.1999999880791","3","0","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","13","55585","0.0-13.0","","","","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","57205","0.0-14.0","","","","","1618.699999988079","img/food4.png","76","1619.6000000238419","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","15","57507","0.0-15.0","","","","","null","<img src=""img/food4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","16","58177","0.0-16.0","","","","","669.3000000119209","img/food4.png","76","670.1000000238419","3","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","17","58478","0.0-17.0","","","","","null","<img src=""img/food4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
