"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","2451","0.0-0.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","","","","","","","","","","","","",""
"","instructions","1","75565","0.0-1.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","[{""page_index"":0,""viewing_time"":37326.40000000596},{""page_index"":1,""viewing_time"":3432},{""page_index"":2,""viewing_time"":15617.800000011921},{""page_index"":3,""viewing_time"":5283.5},{""page_index"":4,""viewing_time"":2683},{""page_index"":5,""viewing_time"":6466.299999982119},{""page_index"":6,""viewing_time"":2301}]","73111.40000000596","","","","","","","","","","","",""
"","image-keyboard-response","2","76601","0.0-2.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","1032.5999999940395","img/food1.png","74","1035.0999999940395","1","0","3","1","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2","",""
"","html-keyboard-response","3","76911","0.0-3.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","null","<img src=""img/food1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","77330","0.0-4.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","417.40000000596046","img/food1.png","75","418.89999997615814","2","1","3","1","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2","",""
"","html-keyboard-response","5","77637","0.0-5.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","null","<img src=""img/food1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","78399","0.0-6.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","759.9000000059605","img/food1.png","75","761.6000000238419","2","1","3","1","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2","",""
"","html-keyboard-response","7","78707","0.0-7.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","null","<img src=""img/food1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","79702","0.0-8.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","993.0999999940395","img/food3.png","76","995","3","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2","",""
"","html-keyboard-response","9","80005","0.0-9.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","80869","0.0-10.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","860.8000000119209","img/food5.png","74","862.9000000059605","1","1","2","1","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2","",""
"","html-keyboard-response","11","81176","0.0-11.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","81910","0.0-12.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","731.8999999761581","img/food3.png","76","733.0999999940395","3","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2","",""
"","html-keyboard-response","13","82215","0.0-13.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","82875","0.0-14.0","3RWE2M8QWIWEZN9IZL6G04LOBM3N0E","A21QUJTIIAOX2W","37SDSEDIN9ORHL92Y0GV7TIFJ2X187","","657.9000000059605","img/food5.png","74","659","1","1","2","1","1,0.5,0,1,0.5,0,0.5,0,1","0.5,0,1,0.5,0,1,0,1,0.5","2","",""
