"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","55500","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","73518","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":1811.2999999821186},{""page_index"":1,""viewing_time"":2564.800000011921},{""page_index"":2,""viewing_time"":1585.4000000059605},{""page_index"":3,""viewing_time"":4860.899999976158},{""page_index"":4,""viewing_time"":2370.800000011921},{""page_index"":5,""viewing_time"":1610.199999988079},{""page_index"":6,""viewing_time"":3212.4000000059605}]","18016.5","","","","","","","","","","","",""
"","image-keyboard-response","2","75013","0.0-2.0","","","","","1493.7999999821186","img/food3.png","75","1494.7999999821186","2","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","3","75315","0.0-3.0","","","","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","76923","0.0-4.0","","","","","1607.2000000178814","img/food6.png","75","1607.8999999761581","2","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","5","77225","0.0-5.0","","","","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","78343","0.0-6.0","","","","","1116.9000000059605","img/food5.png","74","1117.5","1","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","7","78644","0.0-7.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","79425","0.0-8.0","","","","","780.4000000059605","img/food3.png","75","781","2","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","9","79727","0.0-9.0","","","","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","80424","0.0-10.0","","","","","696.5","img/food5.png","76","697.3000000119209","3","0","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","11","80726","0.0-11.0","","","","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","81455","0.0-12.0","","","","","728","img/food5.png","74","728.7000000178814","1","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","13","81756","0.0-13.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","82325","0.0-14.0","","","","","568.0999999940395","img/food5.png","75","568.5999999940395","2","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","15","82641","0.0-15.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","16","83335","0.0-16.0","","","","","692.7000000178814","img/food3.png","74","693.2999999821186","1","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","17","83652","0.0-17.0","","","","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","18","84206","0.0-18.0","","","","","553.5","img/food6.png","76","554.3000000119209","3","0","2","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","19","84507","0.0-19.0","","","","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","20","85208","0.0-20.0","","","","","700.1999999880791","img/food3.png","74","700.8000000119209","1","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","21","85510","0.0-21.0","","","","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
