"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","4266","0.0-0.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","","","","","","","","","","","","",""
"","instructions","1","15057","0.0-1.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","[{""page_index"":0,""viewing_time"":1468},{""page_index"":1,""viewing_time"":1161},{""page_index"":2,""viewing_time"":1078},{""page_index"":3,""viewing_time"":2104},{""page_index"":4,""viewing_time"":1505},{""page_index"":5,""viewing_time"":1366},{""page_index"":6,""viewing_time"":2106}]","10789","","","","","","","","","","","",""
"","image-keyboard-response","2","15939","0.0-2.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","879","img/food6.png","74","882","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","3","16241","0.0-3.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","16331","0.0-4.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","89","img/food6.png","76","90","3","0","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","5","16635","0.0-5.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","16731","0.0-6.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","94","img/food6.png","75","96","2","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","7","17034","0.0-7.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","17067","0.0-8.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","29","img/food2.png","75","33","2","0","3","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","9","17375","0.0-9.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","17439","0.0-10.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","58","img/food6.png","74","61","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","11","17743","0.0-11.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","17765","0.0-12.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","20","img/food6.png","74","22","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","13","18067","0.0-13.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","18086","0.0-14.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","17","img/food5.png","74","19","1","1","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","15","18393","0.0-15.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","16","18419","0.0-16.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","23","img/food2.png","75","26","2","0","3","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","17","18720","0.0-17.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","18","18762","0.0-18.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","41","img/food5.png","76","42","3","0","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","19","19064","0.0-19.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","20","19075","0.0-20.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","10","img/food6.png","74","11","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","21","19379","0.0-21.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","22","19439","0.0-22.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","57","img/food6.png","75","60","2","0","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","23","19745","0.0-23.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","24","19875","0.0-24.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","128","img/food5.png","74","130","1","1","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","25","20178","0.0-25.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","26","20203","0.0-26.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","23","img/food5.png","76","25","3","0","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","27","20505","0.0-27.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","28","20518","0.0-28.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","9","img/food5.png","76","13","3","0","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","29","20824","0.0-29.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","30","20874","0.0-30.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","47","img/food5.png","74","50","1","1","2","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","31","21176","0.0-31.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","32","21221","0.0-32.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","41","img/food6.png","75","45","2","0","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","33","21525","0.0-33.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","34","21634","0.0-34.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","108","img/food6.png","74","110","1","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","35","21939","0.0-35.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","36","22018","0.0-36.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","74","img/food6.png","75","78","2","1","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","37","22320","0.0-37.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","38","22449","0.0-38.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","128","img/food6.png","76","129","3","0","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
"","html-keyboard-response","39","22752","0.0-39.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","40","22860","0.0-40.0","3TU5ZICBRENHK9RDAHBCXDMBZVNQ8C","A2AP9F2LCG5GV8","3P7RGTLO6EZ76AO3386R8ZK9IWWKAW","","107","img/food6.png","75","109","2","0","1","1","1,0.5,0,1,0.5,0,0.5,0,1","1,0.5,0,1,0.5,0,0.5,0,1","1","",""
