"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","3739","0.0-0.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","","","","","","","","","","","","",""
"","instructions","1","25213","0.0-1.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","[{""page_index"":0,""viewing_time"":4317.600000000093},{""page_index"":1,""viewing_time"":3467.5},{""page_index"":2,""viewing_time"":3198.7999999998137},{""page_index"":3,""viewing_time"":2802.7000000001863},{""page_index"":4,""viewing_time"":2097.6999999997206},{""page_index"":5,""viewing_time"":2951.7000000001863},{""page_index"":6,""viewing_time"":2630.2000000001863}]","21467","","","","","","","","","","","",""
"","image-keyboard-response","2","26675","0.0-2.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","1456.3999999999069","img/food6.png","76","1460.8999999999069","3","0","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","3","26981","0.0-3.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","27350","0.0-4.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","365.29999999981374","img/food4.png","75","368.29999999981374","2","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","5","27654","0.0-5.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","28428","0.0-6.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","769.3999999999069","img/food6.png","74","772.1999999997206","1","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","7","28732","0.0-7.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","29539","0.0-8.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","801","img/food6.png","74","805.3999999999069","1","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","9","29845","0.0-9.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","30537","0.0-10.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","689.3999999999069","img/food5.png","74","691.7000000001863","1","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","11","30840","0.0-11.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","31474","0.0-12.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","631","img/food6.png","74","633.5","1","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","13","31779","0.0-13.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","33149","0.0-14.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","1366.7000000001863","img/food4.png","74","1369.2000000001863","1","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","15","33452","0.0-15.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","16","34294","0.0-16.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","839.1000000000931","img/food5.png","75","841.7000000001863","2","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","17","34598","0.0-17.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","18","36601","0.0-18.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","","img/food4.png","","2002.8999999999069","-1","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","19","36905","0.0-19.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","20","37422","0.0-20.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","514","img/food5.png","75","516.7000000001863","2","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","21","37725","0.0-21.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","22","38171","0.0-22.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","442.60000000009313","img/food6.png","75","445","2","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","23","38475","0.0-23.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","24","38944","0.0-24.0","31LM9EDVOMEL1TA4LTGMI90K9LQJND","A2DURCYLFT9UDY","3JAOYN9IHLO1QRHB9NZI45P11ZM33A","","466.5","img/food5.png","75","468.8000000002794","2","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
