"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","2909","0.0-0.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","","","","","","","","","","","","",""
"","instructions","1","10647","0.0-1.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","[{""page_index"":0,""viewing_time"":2085.9000000059605},{""page_index"":1,""viewing_time"":1071.7999999970198},{""page_index"":2,""viewing_time"":664},{""page_index"":3,""viewing_time"":1128},{""page_index"":4,""viewing_time"":1032},{""page_index"":5,""viewing_time"":1000},{""page_index"":6,""viewing_time"":752}]","7734.29999999702","","","","","","","","","","","",""
"","instructions","2","14462","0.0-2.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","[{""page_index"":0,""viewing_time"":1710.2999999970198},{""page_index"":1,""viewing_time"":2103.2000000029802}]","3813.9000000059605","","","","","","","","","","","",""
"","image-keyboard-response","3","15052","0.0-3.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","587.5999999940395","img/food1.png","74","589.7000000029802","1","1","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1",""
"","html-keyboard-response","4","15368","0.0-4.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","null","<img src=""img/food1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","5","15431","0.0-6.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","61","img/food1.png","76","62.6000000089407","3","0","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1",""
"","html-keyboard-response","6","15744","0.0-7.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","null","<img src=""img/food1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","7","15859","0.0-9.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","113.29999999701977","img/food3.png","76","114.59999999403954","3","0","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1",""
"","html-keyboard-response","8","16163","0.0-10.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","9","16293","0.0-12.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","127.6000000089407","img/food1.png","76","129.29999999701977","3","0","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1",""
"","html-keyboard-response","10","16599","0.0-13.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","null","<img src=""img/food1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","11","16602","0.0-15.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","0.3999999910593033","img/food1.png","75","2.4000000059604645","2","0","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1",""
"","html-keyboard-response","12","16911","0.0-16.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","null","<img src=""img/food1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","13","16965","0.0-18.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","51.69999998807907","img/food6.png","74","53.20000000298023","1","1","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1",""
"","html-keyboard-response","14","17269","0.0-19.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","15","17274","0.0-21.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","2.5","img/food1.png","75","4.299999997019768","2","1","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1",""
"","html-keyboard-response","16","17582","0.0-22.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","null","<img src=""img/food1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","17","17660","0.0-24.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","75.5","img/food3.png","76","77.30000001192093","3","0","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1",""
"","html-keyboard-response","18","17968","0.0-25.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","19","18092","0.0-27.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","121.5","img/food1.png","76","123.19999998807907","3","0","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1",""
"","html-keyboard-response","20","18400","0.0-28.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","null","<img src=""img/food1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","21","18467","0.0-30.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","63.900000005960464","img/food6.png","76","65.79999999701977","3","1","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1",""
"","html-keyboard-response","22","18773","0.0-31.0","39PAAFCODNMSN1FIZEGHUWH6TQYVTQ","A2HOEI5M6G883O","3SA4EMRVJVOCGON1OYE6FAUV3JU0PO","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
