"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","2892","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","46295","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":3490},{""page_index"":1,""viewing_time"":944},{""page_index"":2,""viewing_time"":5233},{""page_index"":3,""viewing_time"":5759},{""page_index"":4,""viewing_time"":2600},{""page_index"":5,""viewing_time"":21544},{""page_index"":6,""viewing_time"":3832}]","43402","","","","","","","","","","","",""
"","image-keyboard-response","2","47260","0.0-2.0","","","","","963","img/food1.png","74","965","1","0","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","3","47564","0.0-3.0","","","","","null","<img src=""img/food1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","48301","0.0-4.0","","","","","737","img/food5.png","75","738","2","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","5","48604","0.0-5.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","49406","0.0-6.0","","","","","801","img/food4.png","76","802","3","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","7","49715","0.0-7.0","","","","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","50310","0.0-8.0","","","","","595","img/food4.png","75","595","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","9","50611","0.0-9.0","","","","","null","<img src=""img/food4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","51407","0.0-10.0","","","","","795","img/food1.png","75","795","2","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","11","51720","0.0-11.0","","","","","null","<img src=""img/food1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","52183","0.0-12.0","","","","","462","img/food1.png","75","462","2","1","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","13","52491","0.0-13.0","","","","","null","<img src=""img/food1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
