"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"true","fullscreen","0","4722","0.0-0.0","3WMINLGALCPR9WA92XUV9Z3PHPSAC3","A2TXZVXQU5FQZ9","3FW4EL5A3LANKRP91N782LFHPY722Q","","","","","","","","","",""
"","instructions","1","23571","0.0-1.0","3WMINLGALCPR9WA92XUV9Z3PHPSAC3","A2TXZVXQU5FQZ9","3FW4EL5A3LANKRP91N782LFHPY722Q","[{""page_index"":0,""viewing_time"":2192},{""page_index"":1,""viewing_time"":3510.300000011921},{""page_index"":2,""viewing_time"":3445.2999999821186},{""page_index"":3,""viewing_time"":2931.300000011921},{""page_index"":4,""viewing_time"":2086.300000011921},{""page_index"":5,""viewing_time"":2992.5999999940395},{""page_index"":6,""viewing_time"":1680.4000000059605}]","18839.20000001788","","","","","","","",""
"","image-keyboard-response","2","25025","0.0-2.0","3WMINLGALCPR9WA92XUV9Z3PHPSAC3","A2TXZVXQU5FQZ9","3FW4EL5A3LANKRP91N782LFHPY722Q","","1452.0999999940395","img/food3.png","74","1453.800000011921","1","0","1","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","3","25338","0.0-3.0","3WMINLGALCPR9WA92XUV9Z3PHPSAC3","A2TXZVXQU5FQZ9","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","4","25534","0.0-4.0","3WMINLGALCPR9WA92XUV9Z3PHPSAC3","A2TXZVXQU5FQZ9","3FW4EL5A3LANKRP91N782LFHPY722Q","","192.90000000596046","img/food2.png","75","193.7999999821186","2","0","3","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","5","25847","0.0-5.0","3WMINLGALCPR9WA92XUV9Z3PHPSAC3","A2TXZVXQU5FQZ9","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","6","26506","0.0-6.0","3WMINLGALCPR9WA92XUV9Z3PHPSAC3","A2TXZVXQU5FQZ9","3FW4EL5A3LANKRP91N782LFHPY722Q","","657.8000000119209","img/food6.png","76","658.7999999821186","3","1","2","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","7","26823","0.0-7.0","3WMINLGALCPR9WA92XUV9Z3PHPSAC3","A2TXZVXQU5FQZ9","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","8","27021","0.0-8.0","3WMINLGALCPR9WA92XUV9Z3PHPSAC3","A2TXZVXQU5FQZ9","3FW4EL5A3LANKRP91N782LFHPY722Q","","196","img/food2.png","76","197.90000000596046","3","0","3","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","9","27327","0.0-9.0","3WMINLGALCPR9WA92XUV9Z3PHPSAC3","A2TXZVXQU5FQZ9","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
