"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","4393","0.0-0.0","3ZWFC4W1UVTQBPG0VA6ICVD2IESRF7","A38DHLB88V8DL8","3D1UCPY6GGVNRONHL4UEVMXCHLT38H","","","","","","","","","","","","","",""
"","instructions","1","19364","0.0-1.0","3ZWFC4W1UVTQBPG0VA6ICVD2IESRF7","A38DHLB88V8DL8","3D1UCPY6GGVNRONHL4UEVMXCHLT38H","[{""page_index"":0,""viewing_time"":2309.400000035763},{""page_index"":1,""viewing_time"":1506.199999988079},{""page_index"":2,""viewing_time"":1259.800000011921},{""page_index"":3,""viewing_time"":2769.599999964237},{""page_index"":4,""viewing_time"":1918.5},{""page_index"":5,""viewing_time"":1809.9000000357628},{""page_index"":6,""viewing_time"":3396}]","14969.699999988079","","","","","","","","","","","",""
"","instructions","2","27794","0.0-2.0","3ZWFC4W1UVTQBPG0VA6ICVD2IESRF7","A38DHLB88V8DL8","3D1UCPY6GGVNRONHL4UEVMXCHLT38H","[{""page_index"":0,""viewing_time"":7445.300000011921},{""page_index"":1,""viewing_time"":983.8000000119209}]","8429.300000011921","","","","","","","","","","","",""
"","image-keyboard-response","3","28244","0.0-3.0","3ZWFC4W1UVTQBPG0VA6ICVD2IESRF7","A38DHLB88V8DL8","3D1UCPY6GGVNRONHL4UEVMXCHLT38H","","449.39999997615814","img/food3.png","74","450.10000002384186","1","0","false","1","2","1,0.5,0,1,0.5,0,0.5,0,1","0,1,0.5,0,1,0.5,1,0.5,0","3",""
"","html-keyboard-response","4","28551","0.0-4.0","3ZWFC4W1UVTQBPG0VA6ICVD2IESRF7","A38DHLB88V8DL8","3D1UCPY6GGVNRONHL4UEVMXCHLT38H","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","5","29100","0.0-6.0","3ZWFC4W1UVTQBPG0VA6ICVD2IESRF7","A38DHLB88V8DL8","3D1UCPY6GGVNRONHL4UEVMXCHLT38H","","547.6999999880791","img/food3.png","74","548.4000000357628","1","0","false","1","2","1,0.5,0,1,0.5,0,0.5,0,1","0,1,0.5,0,1,0.5,1,0.5,0","3",""
"","html-keyboard-response","6","29408","0.0-7.0","3ZWFC4W1UVTQBPG0VA6ICVD2IESRF7","A38DHLB88V8DL8","3D1UCPY6GGVNRONHL4UEVMXCHLT38H","","null","<img src=""img/food3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","7","29750","0.0-9.0","3ZWFC4W1UVTQBPG0VA6ICVD2IESRF7","A38DHLB88V8DL8","3D1UCPY6GGVNRONHL4UEVMXCHLT38H","","341.39999997615814","img/food3.png","75","341.89999997615814","2","1","false","1","2","1,0.5,0,1,0.5,0,0.5,0,1","0,1,0.5,0,1,0.5,1,0.5,0","3",""
"","html-keyboard-response","8","30052","0.0-10.0","3ZWFC4W1UVTQBPG0VA6ICVD2IESRF7","A38DHLB88V8DL8","3D1UCPY6GGVNRONHL4UEVMXCHLT38H","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","9","30881","0.0-12.0","3ZWFC4W1UVTQBPG0VA6ICVD2IESRF7","A38DHLB88V8DL8","3D1UCPY6GGVNRONHL4UEVMXCHLT38H","","828.1000000238419","img/food5.png","76","828.8000000119209","3","1","false","2","2","1,0.5,0,1,0.5,0,0.5,0,1","0,1,0.5,0,1,0.5,1,0.5,0","3",""
