"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","8248","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","19620","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":1366},{""page_index"":1,""viewing_time"":736},{""page_index"":2,""viewing_time"":636},{""page_index"":3,""viewing_time"":1201},{""page_index"":4,""viewing_time"":5117},{""page_index"":5,""viewing_time"":1252},{""page_index"":6,""viewing_time"":1062}]","11370","","","","","","","","","","","",""
"","image-keyboard-response","2","20345","0.0-2.0","","","","","724","img/food6.png","74","725","1","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","3","20665","0.0-3.0","","","","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","20728","0.0-4.0","","","","","61","img/food4.png","74","64","1","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","5","21031","0.0-5.0","","","","","null","<img src=""img/food4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","21066","0.0-6.0","","","","","32","img/food6.png","74","34","1","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","7","21381","0.0-7.0","","","","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","21417","0.0-8.0","","","","","36","img/food6.png","75","37","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2","",""
"","html-keyboard-response","9","21731","0.0-9.0","","","","","null","<img src=""img/food6.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
