"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","2094","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","10032","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":590.2999999998137},{""page_index"":1,""viewing_time"":432.9000000001397},{""page_index"":2,""viewing_time"":184.0999999998603},{""page_index"":3,""viewing_time"":1013.9000000001397},{""page_index"":4,""viewing_time"":1079},{""page_index"":5,""viewing_time"":4133.09999999986},{""page_index"":6,""viewing_time"":503.9000000001397}]","7937.399999999907","","","","","","","","","","","",""
"","image-keyboard-response","2","10799","0.0-2.0","","","","","766.5999999998603","img/food3.png","75","767.0999999998603","2","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","3","11105","0.0-3.0","","","","","null","<img src=""img/food3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","11172","0.0-4.0","","","","","66","img/food5.png","75","66.29999999981374","2","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","5","11472","0.0-5.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","11525","0.0-6.0","","","","","51.9000000001397","img/food4.png","74","52.199999999953434","1","0","2","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","7","11834","0.0-7.0","","","","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","11869","0.0-8.0","","","","","33.800000000046566","img/food5.png","75","34.0999999998603","2","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","9","12172","0.0-9.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","12307","0.0-10.0","","","","","134.30000000004657","img/food5.png","75","134.69999999995343","2","1","1","1","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3","",""
"","html-keyboard-response","11","12609","0.0-11.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
