"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","2759","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","26259","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":3569.60000000149},{""page_index"":1,""viewing_time"":1119.5999999996275},{""page_index"":2,""viewing_time"":1111.5999999996275},{""page_index"":3,""viewing_time"":11788.599999999627},{""page_index"":4,""viewing_time"":2627.7000000011176},{""page_index"":5,""viewing_time"":1541.2999999988824},{""page_index"":6,""viewing_time"":1729.5}]","23493.300000000745","","","","","","","","","","","",""
"","instructions","2","39338","0.0-2.0","","","","[{""page_index"":0,""viewing_time"":10742.599999999627},{""page_index"":1,""viewing_time"":2302.2999999988824}]","13048.099999999627","","","","","","","","","","","",""
"","image-keyboard-response","3","39916","0.0-3.0","","","","","568.6999999992549","img/food4.png","74","574.6999999992549","1","0","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","4","40227","0.0-4.0","","","","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","5","40420","0.0-6.0","","","","","181","img/food5.png","76","186.89999999850988","3","1","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","6","40728","0.0-7.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","7","41068","0.0-9.0","","","","","328.7999999988824","img/food4.png","76","335.6000000014901","3","0","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
"","html-keyboard-response","8","41374","0.0-10.0","","","","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","9","41725","0.0-12.0","","","","","341.7000000011176","img/food5.png","74","347.1000000014901","1","0","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0,1,0.7,0,1,0.7,1,0.7,0","3",""
