"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","reward_cond","responses"
"true","fullscreen","0","12116","0.0-0.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","","","","","","","","",""
"","instructions","1","24003","0.0-1.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","[{""page_index"":0,""viewing_time"":1576},{""page_index"":1,""viewing_time"":1121},{""page_index"":2,""viewing_time"":1153},{""page_index"":3,""viewing_time"":3924},{""page_index"":4,""viewing_time"":1548},{""page_index"":5,""viewing_time"":1504},{""page_index"":6,""viewing_time"":1049}]","11879","","","","","","","",""
"","image-keyboard-response","2","26309","0.0-2.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","2299","img/food4.png","75","2304","2","0","3","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","3","26616","0.0-3.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","4","27164","0.0-4.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","546","img/food5.png","74","547","1","0","1","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","5","27467","0.0-5.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","6","28179","0.0-6.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","708","img/food4.png","74","710","1","0","3","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","7","28481","0.0-7.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","8","28709","0.0-8.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","226","img/food5.png","75","228","2","0","1","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","9","29010","0.0-9.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","10","29550","0.0-10.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","534","img/food5.png","76","540","3","1","1","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","11","29851","0.0-11.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","12","30574","0.0-12.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","721","img/food4.png","76","723","3","0","3","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","13","30876","0.0-13.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","14","31398","0.0-14.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","520","img/food5.png","75","522","2","0","1","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","15","31700","0.0-15.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","16","32203","0.0-16.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","502","img/food4.png","74","505","1","0","3","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","17","32509","0.0-17.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","18","32972","0.0-18.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","462","img/food4.png","74","462","1","0","3","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","19","33273","0.0-19.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food4.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","20","33693","0.0-20.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","412","img/food2.png","75","419","2","0","2","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","21","33995","0.0-21.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","22","36514","0.0-22.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","2516","img/food5.png","75","2518","2","0","1","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","23","36827","0.0-23.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","24","37404","0.0-24.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","575","img/food2.png","74","577","1","1","2","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","25","37715","0.0-25.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","",""
"","image-keyboard-response","26","40264","0.0-26.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","2528","img/food2.png","74","2540","1","0","2","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
"","html-keyboard-response","27","40566","0.0-27.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","",""
"","image-keyboard-response","28","41070","0.0-28.0","37FMASSAYDDN59110LQDFDLQCC8IBJ","A3VV07FCCSZ7JY","3FW4EL5A3LANKRP91N782LFHPY722Q","","502","img/food2.png","76","503","3","1","2","0,0.5,0.8,0.5,0,0.8,0,0.5,0.8,0,0.8,0.5",""
