"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","warning","responses"
"true","fullscreen","0","2662","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","10957","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":1740.5999999046326},{""page_index"":1,""viewing_time"":799.9000000953674},{""page_index"":2,""viewing_time"":471.6999999284744},{""page_index"":3,""viewing_time"":1976},{""page_index"":4,""viewing_time"":1648.2000000476837},{""page_index"":5,""viewing_time"":855.8999999761581},{""page_index"":6,""viewing_time"":799.8999999761581}]","8292.5","","","","","","","","","","","",""
"","image-keyboard-response","2","11421","0.0-2.0","","","","","462.60000002384186","img/food2.png","74","463.7000000476837","1","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","3","11737","0.0-3.0","","","","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","12236","0.0-4.0","","","","","498","img/food2.png","74","498.6999999284744","1","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","5","12548","0.0-5.0","","","","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","12988","0.0-6.0","","","","","438.6999999284744","img/food2.png","75","439.60000002384186","2","0","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","7","13289","0.0-7.0","","","","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","14093","0.0-8.0","","","","","802.2000000476837","img/food6.png","75","803","2","0","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","9","14409","0.0-9.0","","","","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","15181","0.0-10.0","","","","","770","img/food5.png","76","771","3","0","2","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","11","15496","0.0-11.0","","","","","null","<img src=""img/food5.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","16221","0.0-12.0","","","","","723.6000000238419","img/food2.png","76","724.1999999284744","3","1","3","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
"","html-keyboard-response","13","16522","0.0-13.0","","","","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","16972","0.0-14.0","","","","","449","img/food6.png","76","449.8000000715256","3","0","1","1","1,0.7,0,1,0.7,0,0.7,0,1","1,0.7,0,1,0.7,0,0.7,0,1","1","",""
