"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses"
"true","fullscreen","0","2198","0.0-0.0","","","","","","","","","","","","","","","","",""
"","instructions","1","7785","0.0-1.0","","","","[{""page_index"":0,""viewing_time"":1030.9000000953674},{""page_index"":1,""viewing_time"":716},{""page_index"":2,""viewing_time"":350.2999999523163},{""page_index"":3,""viewing_time"":933.2999999523163},{""page_index"":4,""viewing_time"":872},{""page_index"":5,""viewing_time"":748},{""page_index"":6,""viewing_time"":934.5}]","5585.5","","","","","","","","","","","",""
"","instructions","2","9459","0.0-2.0","","","","[{""page_index"":0,""viewing_time"":824.2000000476837},{""page_index"":1,""viewing_time"":848.2000000476837}]","1672.5","","","","","","","","","","","",""
"","image-keyboard-response","3","9774","0.0-3.0","","","","","314.40000009536743","img/food6.png","74","315.60000014305115","1","0","false","1","2","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2",""
"","html-keyboard-response","4","10077","0.0-4.0","","","","","null","<img src=""img/food6.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","5","10176","0.0-6.0","","","","","97.5","img/food2.png","75","98.29999995231628","2","0","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2",""
"","html-keyboard-response","6","10480","0.0-7.0","","","","","null","<img src=""img/food2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","7","10542","0.0-9.0","","","","","61","img/food5.png","75","61.80000019073486","2","1","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2",""
"","html-keyboard-response","8","10850","0.0-10.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","9","11031","0.0-12.0","","","","","179.70000004768372","img/food5.png","76","180.60000014305115","3","1","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2",""
"","html-keyboard-response","10","11344","0.0-13.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","11","11431","0.0-15.0","","","","","85.5","img/food2.png","76","86.60000014305115","3","1","false","2","2","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2",""
"","html-keyboard-response","12","11737","0.0-16.0","","","","","null","<img src=""img/food2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","13","11869","0.0-18.0","","","","","130.60000014305115","img/food5.png","75","131.5","2","1","false","3","2","1,0.7,0,1,0.7,0,0.7,0,1","0.7,0,1,0.7,0,1,0,1,0.7","2",""
"","html-keyboard-response","14","12180","0.0-19.0","","","","","null","<img src=""img/food5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
