"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","2362","0.0-0.0","3WJEQKOXA9O7MT0BM05BS3KYGLI1AA","A16K7X677N4WN6","356TQKY9XFJ5S7O4NGX4839SMMP87Z","","","","","","","","","","","","","",""
"","instructions","1","21194","0.0-1.0","3WJEQKOXA9O7MT0BM05BS3KYGLI1AA","A16K7X677N4WN6","356TQKY9XFJ5S7O4NGX4839SMMP87Z","[{""page_index"":0,""viewing_time"":1732},{""page_index"":1,""viewing_time"":3001},{""page_index"":2,""viewing_time"":1723},{""page_index"":3,""viewing_time"":3332},{""page_index"":4,""viewing_time"":3073},{""page_index"":5,""viewing_time"":4057},{""page_index"":6,""viewing_time"":1909}]","18828","","","","","","","","","","","",""
"","image-keyboard-response","2","22253","0.0-2.0","3WJEQKOXA9O7MT0BM05BS3KYGLI1AA","A16K7X677N4WN6","356TQKY9XFJ5S7O4NGX4839SMMP87Z","","1052","img/land2.png","74","1056","1","0","2","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","","",""
"","html-keyboard-response","3","22591","0.0-3.0","3WJEQKOXA9O7MT0BM05BS3KYGLI1AA","A16K7X677N4WN6","356TQKY9XFJ5S7O4NGX4839SMMP87Z","","null","<img src=""img/land2.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","23019","0.0-4.0","3WJEQKOXA9O7MT0BM05BS3KYGLI1AA","A16K7X677N4WN6","356TQKY9XFJ5S7O4NGX4839SMMP87Z","","425","img/land2.png","75","427","2","1","2","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","","",""
"","html-keyboard-response","5","23322","0.0-5.0","3WJEQKOXA9O7MT0BM05BS3KYGLI1AA","A16K7X677N4WN6","356TQKY9XFJ5S7O4NGX4839SMMP87Z","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","24156","0.0-6.0","3WJEQKOXA9O7MT0BM05BS3KYGLI1AA","A16K7X677N4WN6","356TQKY9XFJ5S7O4NGX4839SMMP87Z","","832","img/land1.png","75","832","2","0","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","","",""
"","html-keyboard-response","7","24457","0.0-7.0","3WJEQKOXA9O7MT0BM05BS3KYGLI1AA","A16K7X677N4WN6","356TQKY9XFJ5S7O4NGX4839SMMP87Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","24986","0.0-8.0","3WJEQKOXA9O7MT0BM05BS3KYGLI1AA","A16K7X677N4WN6","356TQKY9XFJ5S7O4NGX4839SMMP87Z","","527","img/land1.png","75","528","2","0","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","","",""
"","html-keyboard-response","9","25288","0.0-9.0","3WJEQKOXA9O7MT0BM05BS3KYGLI1AA","A16K7X677N4WN6","356TQKY9XFJ5S7O4NGX4839SMMP87Z","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
