"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","31362","0.0-0.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","","","","","","","","","","","","",""
"","instructions","1","41748","0.0-1.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","[{""page_index"":0,""viewing_time"":1477.7000000476837},{""page_index"":1,""viewing_time"":1008.0999999642372},{""page_index"":2,""viewing_time"":449.80000001192093},{""page_index"":3,""viewing_time"":3510.699999988079},{""page_index"":4,""viewing_time"":1867.800000011921},{""page_index"":5,""viewing_time"":1170.300000011921},{""page_index"":6,""viewing_time"":899.8999999761581}]","10385","","","","","","","","","","","",""
"","image-keyboard-response","2","42887","0.0-2.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","1137.6000000238419","img/land1.png","74","1139.3999999761581","1","1","1","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
"","html-keyboard-response","3","43195","0.0-3.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","43846","0.0-4.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","649","img/land2.png","75","650.3000000119209","2","1","2","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
"","html-keyboard-response","5","44160","0.0-5.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","44710","0.0-6.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","548.1000000238419","img/land2.png","75","549.1999999880791","2","1","2","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
"","html-keyboard-response","7","45012","0.0-7.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","45358","0.0-8.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","344.80000001192093","img/land2.png","75","346","2","1","2","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
"","html-keyboard-response","9","45663","0.0-9.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","45962","0.0-10.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","297","img/land2.png","75","298.2999999523163","2","1","2","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
"","html-keyboard-response","11","46272","0.0-11.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","null","<img src=""img/land2.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","46598","0.0-12.0","3TOK3KHVJU4AZJ9ELZR2U8VG8DT7OX","A1BJFYHXK6YDX1","3THR0FZ95PF7SK0MYRNAOUHTWA4OLV","","324.60000002384186","img/land2.png","75","325.80000001192093","2","1","2","2","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","1,0.7,0.7,0.7,1,0.7,0.7,0.7,1","","",""
