"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","s","cond","reward_cond","reward_cond_actual","reward_matrix_idx","responses","question_order"
"true","fullscreen","0","10114","0.0-0.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","","","","","","","","","","","","",""
"","instructions","1","18345","0.0-1.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","[{""page_index"":0,""viewing_time"":1052},{""page_index"":1,""viewing_time"":1368.3999996185303},{""page_index"":2,""viewing_time"":815.8000001907349},{""page_index"":3,""viewing_time"":1255.8999996185303},{""page_index"":4,""viewing_time"":1256},{""page_index"":5,""viewing_time"":1167.9000005722046},{""page_index"":6,""viewing_time"":1313.3000001907349}]","8229.699999809265","","","","","","","","","","","",""
"","image-keyboard-response","2","19665","0.0-2.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","1317.5999994277954","img/land3.png","75","1319.3999996185303","2","1","3","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","3","19968","0.0-3.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","4","20272","0.0-4.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","303.0999994277954","img/land1.png","76","304.1000003814697","3","0","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","5","20574","0.0-5.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","6","21075","0.0-6.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","500","img/land1.png","74","500.8999996185303","1","1","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","7","21378","0.0-7.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","8","21881","0.0-8.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","501.69999980926514","img/land1.png","76","502.6000003814697","3","1","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","9","22183","0.0-9.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","10","22465","0.0-10.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","280.30000019073486","img/land4.png","75","281.3999996185303","2","1","2","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","11","22768","0.0-11.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","12","23176","0.0-12.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","407.30000019073486","img/land3.png","74","408.30000019073486","1","1","3","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","13","23479","0.0-13.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","14","24119","0.0-14.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","639.3999996185303","img/land4.png","76","640.4000005722046","3","1","2","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","15","24421","0.0-15.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","16","25095","0.0-16.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","672.6999998092651","img/land1.png","75","673.5","2","1","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","17","25397","0.0-17.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","18","25758","0.0-18.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","360.19999980926514","img/land3.png","75","361.0999994277954","2","0","3","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","19","26060","0.0-19.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land3.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","","","",""
"","image-keyboard-response","20","26808","0.0-20.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","747.2999992370605","img/land4.png","74","748.0999994277954","1","1","2","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","21","27110","0.0-21.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","22","27680","0.0-22.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","568.5","img/land3.png","74","569.3999996185303","1","1","3","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","23","27982","0.0-23.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","24","28575","0.0-24.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","592.1999998092651","img/land1.png","76","593","3","1","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","25","28878","0.0-25.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","26","29255","0.0-26.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","376.5","img/land4.png","76","377.4000005722046","3","1","2","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","27","29557","0.0-27.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land4.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
"","image-keyboard-response","28","29943","0.0-28.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","385.9000005722046","img/land1.png","75","386.69999980926514","2","1","1","2","1,0.5,0.5,0.5,1,0.5,0.5,0.5,1","0.5,1,0.5,0.5,0.5,1,1,0.5,0.5","3","",""
"","html-keyboard-response","29","30246","0.0-29.0","3ZQIG0FLQF2KFIJCUJLSHGO5XHWWVR","A1WW22TG79S8F","38DCH97KHHO4I6P2AJ31XKZ17OGJQZ","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","","","",""
