"success","trial_type","trial_index","time_elapsed","internal_node_id","assignmentID","mturkID","hitID","view_history","rt","stimulus","key_press","reactionTime","a","r","warning","s","reward_cond","responses","question_order"
"true","fullscreen","0","3132","0.0-0.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","","","","","","","","","","","",""
"","instructions","1","36725","0.0-1.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","[{""page_index"":0,""viewing_time"":20068},{""page_index"":1,""viewing_time"":3543},{""page_index"":2,""viewing_time"":652},{""page_index"":3,""viewing_time"":696},{""page_index"":4,""viewing_time"":2700},{""page_index"":5,""viewing_time"":2137},{""page_index"":6,""viewing_time"":1711},{""page_index"":7,""viewing_time"":2081}]","33588","","","","","","","","","",""
"","image-keyboard-response","2","37277","0.0-2.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","","551","img/land1.png","74","552","1","0","false","2","1,1,0,0,1,1,1,0,1","",""
"","html-keyboard-response","3","37587","0.0-3.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","","null","<img src=""img/land1.png"" style=""width:200px;border:14px solid red;"">","null","","","","","","","",""
"","image-keyboard-response","4","38182","0.0-5.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","","592","img/land3.png","74","594","1","1","false","1","1,1,0,0,1,1,1,0,1","",""
"","html-keyboard-response","5","38495","0.0-6.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","","null","<img src=""img/land3.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","",""
"","image-keyboard-response","6","39084","0.0-8.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","","587","img/land1.png","75","588","2","1","false","2","1,1,0,0,1,1,1,0,1","",""
"","html-keyboard-response","7","39391","0.0-9.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","","null","<img src=""img/land1.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","",""
"","image-keyboard-response","8","40039","0.0-11.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","","645","img/land5.png","76","646","3","1","false","3","1,1,0,0,1,1,1,0,1","",""
"","html-keyboard-response","9","40359","0.0-12.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","","null","<img src=""img/land5.png"" style=""width:200px; border:14px solid green;"">","null","","","","","","","",""
"","image-keyboard-response","10","40787","0.0-14.0","3HMIGG0U4MSQTBIZ1RS6AZPDV5G8Y8","A20TOOYZRH6KUZ","3XEIP58NL09JROET00YR4SOXG94ZLV","","426","img/land5.png","76","428","3","1","false","3","1,1,0,0,1,1,1,0,1","",""
